Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andaman And Nicobar (UT)     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Nicobar,2018 - 2019,0,0.000,0.00,0,0,0,0,3,2.969,138.57,0,3,2.969,138.57,0.00,0,0.000,0.00,0,0,0,0,1,1.345,107.13,1,1.345,107.13,0,0.000,0.00,0,0,0,0,3,2.969,107.13,0,3,2.969,107.13,Total,0,0.000,0.00,0,0,0,0,13,105.554,"11,769.95",0,13,105.554,"11,769.95",0.00,0,0.000,0.00,0,0,0,0,1,1.345,107.13,1,1.345,107.13,0,0.000,0.00,0,0,0,0,3,2.969,107.13,0,3,2.969,107.13,Grand Total,13,26.877,"1,918.38",1,6,0,0,121,351.396,"29,677.64",0,134,378.273,"31,596.02",0.00,0,0.000,0.00,0,0,0,0,2,2.228,"3,797.03",2,2.228,"3,797.03",13,26.069,0.00,1,6,0,0,51,87.825,"3,931.57",0,64,113.894,"3,931.57","Page 1 of 1     Generated on : 12/03/2025 19:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andaman And Nicobar (UT)     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Nicobar,2024 - 2025,0,0.000,0.00,0,0,0,0,10,102.585,"11,631.38",0,10,102.585,"11,631.38",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,0,0.000,0.00,0,0,0,0,13,105.554,"11,769.95",0,13,105.554,"11,769.95",0.00,0,0.000,0.00,0,0,0,0,1,1.345,107.13,1,1.345,107.13,0,0.000,0.00,0,0,0,0,3,2.969,107.13,0,3,2.969,107.13,Grand Total,13,26.877,"1,918.38",1,6,0,0,121,351.396,"29,677.64",0,134,378.273,"31,596.02",0.00,0,0.000,0.00,0,0,0,0,2,2.228,"3,797.03",2,2.228,"3,797.03",13,26.069,0.00,1,6,0,0,51,87.825,"3,931.57",0,64,113.894,"3,931.57","Page 1 of 1     Generated on : 12/03/2025 19:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andaman And Nicobar (UT)     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,North and Middle Andaman,2000 - 2001,3,5.200,361.00,0,0,0,0,0,0.000,0.00,0,3,5.200,361.00,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,3,5.200,,0,0,0,0,0,0.000,0.00,0,3,5.200,0.00,Total,6,13.600,983.08,0,3,0,0,64,170.995,"12,524.82",0,70,184.595,"13,507.90",0.00,0,0.000,0.00,0,0,0,0,1,0.883,"1,816.47",1,0.883,"1,816.47",6,13.060,0.00,0,3,0,0,22,41.461,"1,816.47",0,28,54.521,"1,816.47",Grand Total,13,26.877,"1,918.38",1,6,0,0,121,351.396,"29,677.64",0,134,378.273,"31,596.02",0.00,0,0.000,0.00,0,0,0,0,2,2.228,"3,797.03",2,2.228,"3,797.03",13,26.069,0.00,1,6,0,0,51,87.825,"3,931.57",0,64,113.894,"3,931.57","Page 1 of 1     Generated on : 12/03/2025 19:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andaman And Nicobar (UT)     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,North and Middle Andaman,2001 - 2002,3,8.400,622.08,0,3,0,0,0,0.000,0.00,0,3,8.400,622.08,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,3,7.860,,0,3,0,0,0,0.000,0.00,0,3,7.860,0.00,Total,6,13.600,983.08,0,3,0,0,64,170.995,"12,524.82",0,70,184.595,"13,507.90",0.00,0,0.000,0.00,0,0,0,0,1,0.883,"1,816.47",1,0.883,"1,816.47",6,13.060,0.00,0,3,0,0,22,41.461,"1,816.47",0,28,54.521,"1,816.47",Grand Total,13,26.877,"1,918.38",1,6,0,0,121,351.396,"29,677.64",0,134,378.273,"31,596.02",0.00,0,0.000,0.00,0,0,0,0,2,2.228,"3,797.03",2,2.228,"3,797.03",13,26.069,0.00,1,6,0,0,51,87.825,"3,931.57",0,64,113.894,"3,931.57","Page 1 of 1     Generated on : 12/03/2025 19:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andaman And Nicobar (UT)     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,North and Middle Andaman,2017 - 2018,0,0.000,0.00,0,0,0,0,15,30.573,948.56,0,15,30.573,948.56,0.00,0,0.000,0.00,0,0,0,0,1,0.883,"1,337.05",1,0.883,"1,337.05",0,0.000,0.00,0,0,0,0,15,30.402,"1,337.05",0,15,30.402,"1,337.05",Total,6,13.600,983.08,0,3,0,0,64,170.995,"12,524.82",0,70,184.595,"13,507.90",0.00,0,0.000,0.00,0,0,0,0,1,0.883,"1,816.47",1,0.883,"1,816.47",6,13.060,0.00,0,3,0,0,22,41.461,"1,816.47",0,28,54.521,"1,816.47",Grand Total,13,26.877,"1,918.38",1,6,0,0,121,351.396,"29,677.64",0,134,378.273,"31,596.02",0.00,0,0.000,0.00,0,0,0,0,2,2.228,"3,797.03",2,2.228,"3,797.03",13,26.069,0.00,1,6,0,0,51,87.825,"3,931.57",0,64,113.894,"3,931.57","Page 1 of 1     Generated on : 12/03/2025 19:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andaman And Nicobar (UT)     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,North and Middle Andaman,2018 - 2019,0,0.000,0.00,0,0,0,0,11,15.996,537.44,0,11,15.996,537.44,0.00,0,0.000,0.00,0,0,0,0,0,0.000,479.42,0,0.000,479.42,0,0.000,0.00,0,0,0,0,7,11.059,479.42,0,7,11.059,479.42,Total,6,13.600,983.08,0,3,0,0,64,170.995,"12,524.82",0,70,184.595,"13,507.90",0.00,0,0.000,0.00,0,0,0,0,1,0.883,"1,816.47",1,0.883,"1,816.47",6,13.060,0.00,0,3,0,0,22,41.461,"1,816.47",0,28,54.521,"1,816.47",Grand Total,13,26.877,"1,918.38",1,6,0,0,121,351.396,"29,677.64",0,134,378.273,"31,596.02",0.00,0,0.000,0.00,0,0,0,0,2,2.228,"3,797.03",2,2.228,"3,797.03",13,26.069,0.00,1,6,0,0,51,87.825,"3,931.57",0,64,113.894,"3,931.57","Page 1 of 1     Generated on : 12/03/2025 19:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andaman And Nicobar (UT)     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,North and Middle Andaman,2020 - 2021,0,0.000,0.00,0,0,0,0,24,54.670,"2,776.46",0,24,54.670,"2,776.46",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,6,13.600,983.08,0,3,0,0,64,170.995,"12,524.82",0,70,184.595,"13,507.90",0.00,0,0.000,0.00,0,0,0,0,1,0.883,"1,816.47",1,0.883,"1,816.47",6,13.060,0.00,0,3,0,0,22,41.461,"1,816.47",0,28,54.521,"1,816.47",Grand Total,13,26.877,"1,918.38",1,6,0,0,121,351.396,"29,677.64",0,134,378.273,"31,596.02",0.00,0,0.000,0.00,0,0,0,0,2,2.228,"3,797.03",2,2.228,"3,797.03",13,26.069,0.00,1,6,0,0,51,87.825,"3,931.57",0,64,113.894,"3,931.57","Page 1 of 1     Generated on : 12/03/2025 19:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andaman And Nicobar (UT)     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,North and Middle Andaman,2024 - 2025,0,0.000,0.00,0,0,0,0,14,69.756,"8,262.36",0,14,69.756,"8,262.36",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,6,13.600,983.08,0,3,0,0,64,170.995,"12,524.82",0,70,184.595,"13,507.90",0.00,0,0.000,0.00,0,0,0,0,1,0.883,"1,816.47",1,0.883,"1,816.47",6,13.060,0.00,0,3,0,0,22,41.461,"1,816.47",0,28,54.521,"1,816.47",Grand Total,13,26.877,"1,918.38",1,6,0,0,121,351.396,"29,677.64",0,134,378.273,"31,596.02",0.00,0,0.000,0.00,0,0,0,0,2,2.228,"3,797.03",2,2.228,"3,797.03",13,26.069,0.00,1,6,0,0,51,87.825,"3,931.57",0,64,113.894,"3,931.57","Page 1 of 1     Generated on : 12/03/2025 19:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andaman And Nicobar (UT)     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,South Andaman,2000 - 2001,4,9.177,698.00,0,1,0,0,0,0.000,0.00,0,4,9.177,698.00,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,4,8.692,,0,1,0,0,0,0.000,0.00,0,4,8.692,0.00,Total,7,13.277,935.30,1,3,0,0,44,74.847,"5,382.87",0,51,88.124,"6,318.17",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,873.43",0,0.000,"1,873.43",7,13.009,0.00,1,3,0,0,26,43.395,"2,007.97",0,33,56.404,"2,007.97",Grand Total,13,26.877,"1,918.38",1,6,0,0,121,351.396,"29,677.64",0,134,378.273,"31,596.02",0.00,0,0.000,0.00,0,0,0,0,2,2.228,"3,797.03",2,2.228,"3,797.03",13,26.069,0.00,1,6,0,0,51,87.825,"3,931.57",0,64,113.894,"3,931.57","Page 1 of 1     Generated on : 12/03/2025 19:04 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andaman And Nicobar (UT)     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,South Andaman,2001 - 2002,3,4.100,237.30,1,2,0,0,0,0.000,0.00,0,3,4.100,237.30,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,3,4.317,,1,2,0,0,0,0.000,0.00,0,3,4.317,0.00,Total,7,13.277,935.30,1,3,0,0,44,74.847,"5,382.87",0,51,88.124,"6,318.17",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,873.43",0,0.000,"1,873.43",7,13.009,0.00,1,3,0,0,26,43.395,"2,007.97",0,33,56.404,"2,007.97",Grand Total,13,26.877,"1,918.38",1,6,0,0,121,351.396,"29,677.64",0,134,378.273,"31,596.02",0.00,0,0.000,0.00,0,0,0,0,2,2.228,"3,797.03",2,2.228,"3,797.03",13,26.069,0.00,1,6,0,0,51,87.825,"3,931.57",0,64,113.894,"3,931.57","Page 1 of 1     Generated on : 12/03/2025 19:04 PM     2014 NRRDA, All rights reserved"
