Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andhra Pradesh     District: All Districts     Block: All Blocks     Year: 2017     Month: January     Collaboration: All Collaborations     Agency:  Panchayati Raj Engg. Deptt.  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alluri Sitharama Raju,2000 - 2001,6,13.000,80.39,0,1,7,1,5,15.230,101.62,0,11,28.230,182.01,0.00,0,0.000,84.86,0,0,0,0,0,0.000,106.99,0,0.000,191.85,6,13.000,84.86,0,1,7,1,5,15.230,106.99,0,11,28.230,191.85,Total,561,"1,982.808","1,13,957.12",3,29,270,188,190,"1,328.005","70,325.36",39,751,"3,310.813","1,84,282.48",0.00,8,19.368,"25,593.03",0,1,5,0,1,0.000,"10,233.45",9,19.368,"36,633.29",203,786.372,"25,958.46",3,24,194,16,78,411.542,"10,324.10",10,281,"1,197.914","37,132.66",Grand Total,"1,427","4,564.983","2,12,986.68",213,379,642,203,"3,959","15,406.706","6,03,968.21",359,"5,386","19,971.689","8,16,954.88",0.00,9,28.868,"79,285.65",0,1,6,0,6,14.188,"2,34,556.44",15,43.056,"3,27,696.71",949,"2,918.544","79,728.71",210,361,510,18,"3,369","10,705.201","2,35,570.48",126,"4,318","13,623.745","3,29,214.56","Page 1 of 1     Generated on : 12/03/2025 19:13 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andhra Pradesh     District: All Districts     Block: All Blocks     Year: 2017     Month: January     Collaboration: All Collaborations     Agency:  Panchayati Raj Engg. Deptt.  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alluri Sitharama Raju,2001 - 2002,9,23.560,263.33,0,2,4,0,9,20.500,190.13,0,18,44.060,453.46,0.00,0,0.000,346.98,0,0,0,0,0,0.000,186.91,0,0.000,533.89,9,22.730,346.98,0,2,4,0,9,20.500,186.91,0,18,43.230,533.89,Total,561,"1,982.808","1,13,957.12",3,29,270,188,190,"1,328.005","70,325.36",39,751,"3,310.813","1,84,282.48",0.00,8,19.368,"25,593.03",0,1,5,0,1,0.000,"10,233.45",9,19.368,"36,633.29",203,786.372,"25,958.46",3,24,194,16,78,411.542,"10,324.10",10,281,"1,197.914","37,132.66",Grand Total,"1,427","4,564.983","2,12,986.68",213,379,642,203,"3,959","15,406.706","6,03,968.21",359,"5,386","19,971.689","8,16,954.88",0.00,9,28.868,"79,285.65",0,1,6,0,6,14.188,"2,34,556.44",15,43.056,"3,27,696.71",949,"2,918.544","79,728.71",210,361,510,18,"3,369","10,705.201","2,35,570.48",126,"4,318","13,623.745","3,29,214.56","Page 1 of 1     Generated on : 12/03/2025 19:13 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andhra Pradesh     District: All Districts     Block: All Blocks     Year: 2017     Month: January     Collaboration: All Collaborations     Agency:  Panchayati Raj Engg. Deptt.  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alluri Sitharama Raju,2003 - 2004,37,207.250,"1,574.38",1,12,31,4,2,7.100,85.00,0,39,214.350,"1,659.38",0.00,0,0.000,"1,049.25",0,0,0,0,0,0.000,75.85,0,0.000,"1,125.10",37,176.082,"1,049.25",1,12,31,4,2,7.100,75.85,0,39,183.182,"1,125.10",Total,561,"1,982.808","1,13,957.12",3,29,270,188,190,"1,328.005","70,325.36",39,751,"3,310.813","1,84,282.48",0.00,8,19.368,"25,593.03",0,1,5,0,1,0.000,"10,233.45",9,19.368,"36,633.29",203,786.372,"25,958.46",3,24,194,16,78,411.542,"10,324.10",10,281,"1,197.914","37,132.66",Grand Total,"1,427","4,564.983","2,12,986.68",213,379,642,203,"3,959","15,406.706","6,03,968.21",359,"5,386","19,971.689","8,16,954.88",0.00,9,28.868,"79,285.65",0,1,6,0,6,14.188,"2,34,556.44",15,43.056,"3,27,696.71",949,"2,918.544","79,728.71",210,361,510,18,"3,369","10,705.201","2,35,570.48",126,"4,318","13,623.745","3,29,214.56","Page 1 of 1     Generated on : 12/03/2025 19:13 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andhra Pradesh     District: All Districts     Block: All Blocks     Year: 2017     Month: January     Collaboration: All Collaborations     Agency:  Panchayati Raj Engg. Deptt.  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alluri Sitharama Raju,2005 - 2006,0,0.000,0.00,0,0,0,0,4,46.700,687.04,0,4,46.700,687.04,0.00,0,0.000,0.00,0,0,0,0,0,0.000,697.95,0,0.000,697.95,0,0.000,0.00,0,0,0,0,4,42.180,697.95,0,4,42.180,697.95,Total,561,"1,982.808","1,13,957.12",3,29,270,188,190,"1,328.005","70,325.36",39,751,"3,310.813","1,84,282.48",0.00,8,19.368,"25,593.03",0,1,5,0,1,0.000,"10,233.45",9,19.368,"36,633.29",203,786.372,"25,958.46",3,24,194,16,78,411.542,"10,324.10",10,281,"1,197.914","37,132.66",Grand Total,"1,427","4,564.983","2,12,986.68",213,379,642,203,"3,959","15,406.706","6,03,968.21",359,"5,386","19,971.689","8,16,954.88",0.00,9,28.868,"79,285.65",0,1,6,0,6,14.188,"2,34,556.44",15,43.056,"3,27,696.71",949,"2,918.544","79,728.71",210,361,510,18,"3,369","10,705.201","2,35,570.48",126,"4,318","13,623.745","3,29,214.56","Page 1 of 1     Generated on : 12/03/2025 19:13 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andhra Pradesh     District: All Districts     Block: All Blocks     Year: 2017     Month: January     Collaboration: All Collaborations     Agency:  Panchayati Raj Engg. Deptt.  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alluri Sitharama Raju,2006 - 2007,0,0.000,0.00,0,0,0,0,9,84.100,"1,565.23",0,9,84.100,"1,565.23",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,506.73",0,0.000,"1,506.73",0,0.000,0.00,0,0,0,0,8,71.170,"1,506.73",0,8,71.170,"1,506.73",Total,561,"1,982.808","1,13,957.12",3,29,270,188,190,"1,328.005","70,325.36",39,751,"3,310.813","1,84,282.48",0.00,8,19.368,"25,593.03",0,1,5,0,1,0.000,"10,233.45",9,19.368,"36,633.29",203,786.372,"25,958.46",3,24,194,16,78,411.542,"10,324.10",10,281,"1,197.914","37,132.66",Grand Total,"1,427","4,564.983","2,12,986.68",213,379,642,203,"3,959","15,406.706","6,03,968.21",359,"5,386","19,971.689","8,16,954.88",0.00,9,28.868,"79,285.65",0,1,6,0,6,14.188,"2,34,556.44",15,43.056,"3,27,696.71",949,"2,918.544","79,728.71",210,361,510,18,"3,369","10,705.201","2,35,570.48",126,"4,318","13,623.745","3,29,214.56","Page 1 of 1     Generated on : 12/03/2025 19:13 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andhra Pradesh     District: All Districts     Block: All Blocks     Year: 2017     Month: January     Collaboration: All Collaborations     Agency:  Panchayati Raj Engg. Deptt.  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alluri Sitharama Raju,2007 - 2008,0,0.000,0.00,0,0,0,0,6,83.030,"2,383.08",0,6,83.030,"2,383.08",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,945.34",0,0.000,"1,945.34",0,0.000,0.00,0,0,0,0,6,72.550,"1,945.34",0,6,72.550,"1,945.34",Total,561,"1,982.808","1,13,957.12",3,29,270,188,190,"1,328.005","70,325.36",39,751,"3,310.813","1,84,282.48",0.00,8,19.368,"25,593.03",0,1,5,0,1,0.000,"10,233.45",9,19.368,"36,633.29",203,786.372,"25,958.46",3,24,194,16,78,411.542,"10,324.10",10,281,"1,197.914","37,132.66",Grand Total,"1,427","4,564.983","2,12,986.68",213,379,642,203,"3,959","15,406.706","6,03,968.21",359,"5,386","19,971.689","8,16,954.88",0.00,9,28.868,"79,285.65",0,1,6,0,6,14.188,"2,34,556.44",15,43.056,"3,27,696.71",949,"2,918.544","79,728.71",210,361,510,18,"3,369","10,705.201","2,35,570.48",126,"4,318","13,623.745","3,29,214.56","Page 1 of 1     Generated on : 12/03/2025 19:13 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andhra Pradesh     District: All Districts     Block: All Blocks     Year: 2017     Month: January     Collaboration: All Collaborations     Agency:  Panchayati Raj Engg. Deptt.  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alluri Sitharama Raju,2008 - 2009,35,160.900,"5,411.77",1,3,38,6,11,100.860,"3,443.80",0,46,261.760,"8,855.57",0.00,0,0.000,"4,697.69",0,0,0,0,0,0.000,"2,847.07",0,0.000,"7,544.76",34,144.285,"4,697.69",1,3,37,6,10,78.750,"2,847.07",0,44,223.035,"7,544.76",Total,561,"1,982.808","1,13,957.12",3,29,270,188,190,"1,328.005","70,325.36",39,751,"3,310.813","1,84,282.48",0.00,8,19.368,"25,593.03",0,1,5,0,1,0.000,"10,233.45",9,19.368,"36,633.29",203,786.372,"25,958.46",3,24,194,16,78,411.542,"10,324.10",10,281,"1,197.914","37,132.66",Grand Total,"1,427","4,564.983","2,12,986.68",213,379,642,203,"3,959","15,406.706","6,03,968.21",359,"5,386","19,971.689","8,16,954.88",0.00,9,28.868,"79,285.65",0,1,6,0,6,14.188,"2,34,556.44",15,43.056,"3,27,696.71",949,"2,918.544","79,728.71",210,361,510,18,"3,369","10,705.201","2,35,570.48",126,"4,318","13,623.745","3,29,214.56","Page 1 of 1     Generated on : 12/03/2025 19:13 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andhra Pradesh     District: All Districts     Block: All Blocks     Year: 2017     Month: January     Collaboration: All Collaborations     Agency:  Panchayati Raj Engg. Deptt.  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alluri Sitharama Raju,2010 - 2011,1,7.000,970.66,0,0,1,0,32,95.690,"2,846.08",10,33,102.690,"3,816.74",0.00,0,0.000,158.34,0,0,0,0,0,0.000,"2,378.45",0,0.000,"3,343.60",1,6.940,158.34,0,0,1,0,32,91.667,"2,397.29",10,33,98.607,"3,405.73",Total,561,"1,982.808","1,13,957.12",3,29,270,188,190,"1,328.005","70,325.36",39,751,"3,310.813","1,84,282.48",0.00,8,19.368,"25,593.03",0,1,5,0,1,0.000,"10,233.45",9,19.368,"36,633.29",203,786.372,"25,958.46",3,24,194,16,78,411.542,"10,324.10",10,281,"1,197.914","37,132.66",Grand Total,"1,427","4,564.983","2,12,986.68",213,379,642,203,"3,959","15,406.706","6,03,968.21",359,"5,386","19,971.689","8,16,954.88",0.00,9,28.868,"79,285.65",0,1,6,0,6,14.188,"2,34,556.44",15,43.056,"3,27,696.71",949,"2,918.544","79,728.71",210,361,510,18,"3,369","10,705.201","2,35,570.48",126,"4,318","13,623.745","3,29,214.56","Page 1 of 1     Generated on : 12/03/2025 19:13 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andhra Pradesh     District: All Districts     Block: All Blocks     Year: 2017     Month: January     Collaboration: All Collaborations     Agency:  Panchayati Raj Engg. Deptt.  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alluri Sitharama Raju,2012 - 2013,180,761.883,"41,774.56",1,10,182,42,0,0.000,0.00,1,180,761.883,"41,774.56",0.00,8,19.368,"19,255.91",0,1,5,0,0,0.000,0.00,8,19.368,"19,255.91",116,423.335,"19,621.34",1,6,114,5,0,0.000,0.00,0,116,423.335,"19,621.34",Total,561,"1,982.808","1,13,957.12",3,29,270,188,190,"1,328.005","70,325.36",39,751,"3,310.813","1,84,282.48",0.00,8,19.368,"25,593.03",0,1,5,0,1,0.000,"10,233.45",9,19.368,"36,633.29",203,786.372,"25,958.46",3,24,194,16,78,411.542,"10,324.10",10,281,"1,197.914","37,132.66",Grand Total,"1,427","4,564.983","2,12,986.68",213,379,642,203,"3,959","15,406.706","6,03,968.21",359,"5,386","19,971.689","8,16,954.88",0.00,9,28.868,"79,285.65",0,1,6,0,6,14.188,"2,34,556.44",15,43.056,"3,27,696.71",949,"2,918.544","79,728.71",210,361,510,18,"3,369","10,705.201","2,35,570.48",126,"4,318","13,623.745","3,29,214.56","Page 1 of 1     Generated on : 12/03/2025 19:13 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Andhra Pradesh     District: All Districts     Block: All Blocks     Year: 2017     Month: January     Collaboration: All Collaborations     Agency:  Panchayati Raj Engg. Deptt.  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alluri Sitharama Raju,2013 - 2014,0,0.000,0.00,0,0,0,0,2,14.000,893.85,0,2,14.000,893.85,0.00,0,0.000,0.00,0,0,0,0,1,0.000,488.16,1,0.000,488.16,0,0.000,0.00,0,0,0,0,2,12.395,559.97,0,2,12.395,559.97,Total,561,"1,982.808","1,13,957.12",3,29,270,188,190,"1,328.005","70,325.36",39,751,"3,310.813","1,84,282.48",0.00,8,19.368,"25,593.03",0,1,5,0,1,0.000,"10,233.45",9,19.368,"36,633.29",203,786.372,"25,958.46",3,24,194,16,78,411.542,"10,324.10",10,281,"1,197.914","37,132.66",Grand Total,"1,427","4,564.983","2,12,986.68",213,379,642,203,"3,959","15,406.706","6,03,968.21",359,"5,386","19,971.689","8,16,954.88",0.00,9,28.868,"79,285.65",0,1,6,0,6,14.188,"2,34,556.44",15,43.056,"3,27,696.71",949,"2,918.544","79,728.71",210,361,510,18,"3,369","10,705.201","2,35,570.48",126,"4,318","13,623.745","3,29,214.56","Page 1 of 1     Generated on : 12/03/2025 19:13 PM     2014 NRRDA, All rights reserved"
