Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2015     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Ambala,2001 - 2002,0,0.000,0.00,0,0,0,0,2,25.870,463.59,0,2,25.870,463.59,0.00,0,0.000,0.00,0,0,0,0,0,0.000,451.12,0,0.000,451.12,0,0.000,0.00,0,0,0,0,2,25.870,451.12,0,2,25.870,451.12,Total,0,0.000,0.00,0,0,0,0,38,316.935,"13,966.94",0,38,316.935,"13,966.94",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"6,459.62",0,0.000,"6,459.62",0,0.000,0.00,0,0,0,0,22,170.734,"6,482.07",0,22,170.734,"6,482.07",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,2,15.530,"1,64,925.86",2,15.530,"1,65,574.08",1,2.000,84.77,0,1,0,0,440,"4,684.793","1,69,234.53",0,441,"4,686.793","1,70,618.81","Page 1 of 1     Generated on : 12/03/2025 23:05 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2015     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Ambala,2003 - 2004,0,0.000,0.00,0,0,0,0,2,15.630,287.40,0,2,15.630,287.40,0.00,0,0.000,0.00,0,0,0,0,0,0.000,288.49,0,0.000,288.49,0,0.000,0.00,0,0,0,0,2,15.630,288.49,0,2,15.630,288.49,Total,0,0.000,0.00,0,0,0,0,38,316.935,"13,966.94",0,38,316.935,"13,966.94",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"6,459.62",0,0.000,"6,459.62",0,0.000,0.00,0,0,0,0,22,170.734,"6,482.07",0,22,170.734,"6,482.07",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,2,15.530,"1,64,925.86",2,15.530,"1,65,574.08",1,2.000,84.77,0,1,0,0,440,"4,684.793","1,69,234.53",0,441,"4,686.793","1,70,618.81","Page 1 of 1     Generated on : 12/03/2025 23:05 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2015     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Ambala,2004 - 2005,0,0.000,0.00,0,0,0,0,1,11.220,252.80,0,1,11.220,252.80,0.00,0,0.000,0.00,0,0,0,0,0,0.000,222.59,0,0.000,222.59,0,0.000,0.00,0,0,0,0,1,11.220,222.59,0,1,11.220,222.59,Total,0,0.000,0.00,0,0,0,0,38,316.935,"13,966.94",0,38,316.935,"13,966.94",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"6,459.62",0,0.000,"6,459.62",0,0.000,0.00,0,0,0,0,22,170.734,"6,482.07",0,22,170.734,"6,482.07",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,2,15.530,"1,64,925.86",2,15.530,"1,65,574.08",1,2.000,84.77,0,1,0,0,440,"4,684.793","1,69,234.53",0,441,"4,686.793","1,70,618.81","Page 1 of 1     Generated on : 12/03/2025 23:05 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2015     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Ambala,2005 - 2006,0,0.000,0.00,0,0,0,0,1,11.800,253.77,0,1,11.800,253.77,0.00,0,0.000,0.00,0,0,0,0,0,0.000,404.76,0,0.000,404.76,0,0.000,0.00,0,0,0,0,1,11.800,404.76,0,1,11.800,404.76,Total,0,0.000,0.00,0,0,0,0,38,316.935,"13,966.94",0,38,316.935,"13,966.94",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"6,459.62",0,0.000,"6,459.62",0,0.000,0.00,0,0,0,0,22,170.734,"6,482.07",0,22,170.734,"6,482.07",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,2,15.530,"1,64,925.86",2,15.530,"1,65,574.08",1,2.000,84.77,0,1,0,0,440,"4,684.793","1,69,234.53",0,441,"4,686.793","1,70,618.81","Page 1 of 1     Generated on : 12/03/2025 23:05 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2015     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Ambala,2006 - 2007,0,0.000,0.00,0,0,0,0,4,38.320,"1,059.40",0,4,38.320,"1,059.40",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,440.78",0,0.000,"1,440.78",0,0.000,0.00,0,0,0,0,4,38.320,"1,440.78",0,4,38.320,"1,440.78",Total,0,0.000,0.00,0,0,0,0,38,316.935,"13,966.94",0,38,316.935,"13,966.94",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"6,459.62",0,0.000,"6,459.62",0,0.000,0.00,0,0,0,0,22,170.734,"6,482.07",0,22,170.734,"6,482.07",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,2,15.530,"1,64,925.86",2,15.530,"1,65,574.08",1,2.000,84.77,0,1,0,0,440,"4,684.793","1,69,234.53",0,441,"4,686.793","1,70,618.81","Page 1 of 1     Generated on : 12/03/2025 23:05 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2015     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Ambala,2007 - 2008,0,0.000,0.00,0,0,0,0,10,54.930,"2,062.92",0,10,54.930,"2,062.92",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"2,013.47",0,0.000,"2,013.47",0,0.000,0.00,0,0,0,0,10,54.930,"2,013.47",0,10,54.930,"2,013.47",Total,0,0.000,0.00,0,0,0,0,38,316.935,"13,966.94",0,38,316.935,"13,966.94",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"6,459.62",0,0.000,"6,459.62",0,0.000,0.00,0,0,0,0,22,170.734,"6,482.07",0,22,170.734,"6,482.07",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,2,15.530,"1,64,925.86",2,15.530,"1,65,574.08",1,2.000,84.77,0,1,0,0,440,"4,684.793","1,69,234.53",0,441,"4,686.793","1,70,618.81","Page 1 of 1     Generated on : 12/03/2025 23:05 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2015     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Ambala,2008 - 2009,0,0.000,0.00,0,0,0,0,1,9.300,480.72,0,1,9.300,480.72,0.00,0,0.000,0.00,0,0,0,0,0,0.000,323.44,0,0.000,323.44,0,0.000,0.00,0,0,0,0,1,8.964,323.44,0,1,8.964,323.44,Total,0,0.000,0.00,0,0,0,0,38,316.935,"13,966.94",0,38,316.935,"13,966.94",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"6,459.62",0,0.000,"6,459.62",0,0.000,0.00,0,0,0,0,22,170.734,"6,482.07",0,22,170.734,"6,482.07",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,2,15.530,"1,64,925.86",2,15.530,"1,65,574.08",1,2.000,84.77,0,1,0,0,440,"4,684.793","1,69,234.53",0,441,"4,686.793","1,70,618.81","Page 1 of 1     Generated on : 12/03/2025 23:05 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2015     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Ambala,2009 - 2010,0,0.000,0.00,0,0,0,0,1,4.000,173.97,0,1,4.000,173.97,0.00,0,0.000,0.00,0,0,0,0,0,0.000,165.71,0,0.000,165.71,0,0.000,0.00,0,0,0,0,1,4.000,165.71,0,1,4.000,165.71,Total,0,0.000,0.00,0,0,0,0,38,316.935,"13,966.94",0,38,316.935,"13,966.94",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"6,459.62",0,0.000,"6,459.62",0,0.000,0.00,0,0,0,0,22,170.734,"6,482.07",0,22,170.734,"6,482.07",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,2,15.530,"1,64,925.86",2,15.530,"1,65,574.08",1,2.000,84.77,0,1,0,0,440,"4,684.793","1,69,234.53",0,441,"4,686.793","1,70,618.81","Page 1 of 1     Generated on : 12/03/2025 23:05 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2015     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Ambala,2013 - 2014,0,0.000,0.00,0,0,0,0,5,54.055,"5,331.21",0,5,54.055,"5,331.21",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,149.26",0,0.000,"1,149.26",0,0.000,0.00,0,0,0,0,0,0.000,"1,171.71",0,0,0.000,"1,171.71",Total,0,0.000,0.00,0,0,0,0,38,316.935,"13,966.94",0,38,316.935,"13,966.94",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"6,459.62",0,0.000,"6,459.62",0,0.000,0.00,0,0,0,0,22,170.734,"6,482.07",0,22,170.734,"6,482.07",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,2,15.530,"1,64,925.86",2,15.530,"1,65,574.08",1,2.000,84.77,0,1,0,0,440,"4,684.793","1,69,234.53",0,441,"4,686.793","1,70,618.81","Page 1 of 1     Generated on : 12/03/2025 23:05 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Haryana     District: All Districts     Block: All Blocks     Year: 2015     Month: January     Collaboration: All Collaborations     Agency:  Public Works Department   Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Ambala,2020 - 2021,0,0.000,0.00,0,0,0,0,9,77.260,"3,012.24",0,9,77.260,"3,012.24",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,0,0.000,0.00,0,0,0,0,38,316.935,"13,966.94",0,38,316.935,"13,966.94",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"6,459.62",0,0.000,"6,459.62",0,0.000,0.00,0,0,0,0,22,170.734,"6,482.07",0,22,170.734,"6,482.07",Grand Total,1,2.000,91.89,0,1,0,0,772,"8,108.671","3,71,801.66",18,773,"8,110.671","3,71,893.55",0.00,0,0.000,84.77,0,0,0,0,2,15.530,"1,64,925.86",2,15.530,"1,65,574.08",1,2.000,84.77,0,1,0,0,440,"4,684.793","1,69,234.53",0,441,"4,686.793","1,70,618.81","Page 1 of 1     Generated on : 12/03/2025 23:05 PM     2014 NRRDA, All rights reserved"
