Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Karnataka     District: All Districts     Block: All Blocks     Year: 2008     Month: January     Collaboration: All Collaborations     Agency:  Karnataka Rural Roads Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bagalkot,2000 - 2001,1,1.500,11.34,0,1,0,0,20,63.430,373.43,0,21,64.930,384.77,0.00,0,0.000,12.11,0,0,0,0,0,0.000,386.60,0,0.000,398.71,1,1.500,12.11,0,1,0,0,20,63.430,386.60,0,21,64.930,398.71,Total,5,18.500,551.63,3,4,0,0,136,717.010,"23,856.25",13,141,735.510,"24,407.88",0.00,0,0.000,64.61,0,0,0,0,0,0.000,"1,741.67",0,0.000,"1,806.28",2,5.100,64.61,3,1,0,0,63,205.880,"1,786.33",0,65,210.980,"1,850.94",Grand Total,259,656.776,"14,519.08",151,130,15,0,"4,197","23,611.008","8,03,669.04",165,"4,456","24,267.784","8,18,188.12",0.00,0,0.000,"4,905.51",0,0,0,0,25,131.575,"72,120.89",25,131.575,"77,026.40",191,500.780,"4,905.51",151,118,0,0,"1,548","5,407.325","76,920.94",0,"1,739","5,908.105","81,826.45","Page 1 of 1     Generated on : 13/03/2025 17:37 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Karnataka     District: All Districts     Block: All Blocks     Year: 2008     Month: January     Collaboration: All Collaborations     Agency:  Karnataka Rural Roads Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bagalkot,2001 - 2002,1,3.600,40.89,3,0,0,0,32,92.950,691.01,0,33,96.550,731.90,0.00,0,0.000,52.50,0,0,0,0,0,0.000,678.64,0,0.000,731.14,1,3.600,52.50,3,0,0,0,32,92.950,678.64,0,33,96.550,731.14,Total,5,18.500,551.63,3,4,0,0,136,717.010,"23,856.25",13,141,735.510,"24,407.88",0.00,0,0.000,64.61,0,0,0,0,0,0.000,"1,741.67",0,0.000,"1,806.28",2,5.100,64.61,3,1,0,0,63,205.880,"1,786.33",0,65,210.980,"1,850.94",Grand Total,259,656.776,"14,519.08",151,130,15,0,"4,197","23,611.008","8,03,669.04",165,"4,456","24,267.784","8,18,188.12",0.00,0,0.000,"4,905.51",0,0,0,0,25,131.575,"72,120.89",25,131.575,"77,026.40",191,500.780,"4,905.51",151,118,0,0,"1,548","5,407.325","76,920.94",0,"1,739","5,908.105","81,826.45","Page 1 of 1     Generated on : 13/03/2025 17:37 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Karnataka     District: All Districts     Block: All Blocks     Year: 2008     Month: January     Collaboration: All Collaborations     Agency:  Karnataka Rural Roads Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bagalkot,2003 - 2004,0,0.000,0.00,0,0,0,0,9,41.000,361.84,0,9,41.000,361.84,0.00,0,0.000,0.00,0,0,0,0,0,0.000,357.05,0,0.000,357.05,0,0.000,0.00,0,0,0,0,9,41.000,357.05,0,9,41.000,357.05,Total,5,18.500,551.63,3,4,0,0,136,717.010,"23,856.25",13,141,735.510,"24,407.88",0.00,0,0.000,64.61,0,0,0,0,0,0.000,"1,741.67",0,0.000,"1,806.28",2,5.100,64.61,3,1,0,0,63,205.880,"1,786.33",0,65,210.980,"1,850.94",Grand Total,259,656.776,"14,519.08",151,130,15,0,"4,197","23,611.008","8,03,669.04",165,"4,456","24,267.784","8,18,188.12",0.00,0,0.000,"4,905.51",0,0,0,0,25,131.575,"72,120.89",25,131.575,"77,026.40",191,500.780,"4,905.51",151,118,0,0,"1,548","5,407.325","76,920.94",0,"1,739","5,908.105","81,826.45","Page 1 of 1     Generated on : 13/03/2025 17:37 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Karnataka     District: All Districts     Block: All Blocks     Year: 2008     Month: January     Collaboration: All Collaborations     Agency:  Karnataka Rural Roads Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bagalkot,2005 - 2006,0,0.000,0.00,0,0,0,0,5,21.350,342.18,0,5,21.350,342.18,0.00,0,0.000,0.00,0,0,0,0,0,0.000,287.01,0,0.000,287.01,0,0.000,0.00,0,0,0,0,2,8.500,331.67,0,2,8.500,331.67,Total,5,18.500,551.63,3,4,0,0,136,717.010,"23,856.25",13,141,735.510,"24,407.88",0.00,0,0.000,64.61,0,0,0,0,0,0.000,"1,741.67",0,0.000,"1,806.28",2,5.100,64.61,3,1,0,0,63,205.880,"1,786.33",0,65,210.980,"1,850.94",Grand Total,259,656.776,"14,519.08",151,130,15,0,"4,197","23,611.008","8,03,669.04",165,"4,456","24,267.784","8,18,188.12",0.00,0,0.000,"4,905.51",0,0,0,0,25,131.575,"72,120.89",25,131.575,"77,026.40",191,500.780,"4,905.51",151,118,0,0,"1,548","5,407.325","76,920.94",0,"1,739","5,908.105","81,826.45","Page 1 of 1     Generated on : 13/03/2025 17:37 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Karnataka     District: All Districts     Block: All Blocks     Year: 2008     Month: January     Collaboration: All Collaborations     Agency:  Karnataka Rural Roads Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bagalkot,2006 - 2007,0,0.000,0.00,0,0,0,0,3,12.720,203.52,0,3,12.720,203.52,0.00,0,0.000,0.00,0,0,0,0,0,0.000,32.37,0,0.000,32.37,0,0.000,0.00,0,0,0,0,0,0.000,32.37,0,0,0.000,32.37,Total,5,18.500,551.63,3,4,0,0,136,717.010,"23,856.25",13,141,735.510,"24,407.88",0.00,0,0.000,64.61,0,0,0,0,0,0.000,"1,741.67",0,0.000,"1,806.28",2,5.100,64.61,3,1,0,0,63,205.880,"1,786.33",0,65,210.980,"1,850.94",Grand Total,259,656.776,"14,519.08",151,130,15,0,"4,197","23,611.008","8,03,669.04",165,"4,456","24,267.784","8,18,188.12",0.00,0,0.000,"4,905.51",0,0,0,0,25,131.575,"72,120.89",25,131.575,"77,026.40",191,500.780,"4,905.51",151,118,0,0,"1,548","5,407.325","76,920.94",0,"1,739","5,908.105","81,826.45","Page 1 of 1     Generated on : 13/03/2025 17:37 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Karnataka     District: All Districts     Block: All Blocks     Year: 2008     Month: January     Collaboration: All Collaborations     Agency:  Karnataka Rural Roads Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bagalkot,2007 - 2008,0,0.000,0.00,0,0,0,0,16,143.450,"3,880.68",0,16,143.450,"3,880.68",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,5,18.500,551.63,3,4,0,0,136,717.010,"23,856.25",13,141,735.510,"24,407.88",0.00,0,0.000,64.61,0,0,0,0,0,0.000,"1,741.67",0,0.000,"1,806.28",2,5.100,64.61,3,1,0,0,63,205.880,"1,786.33",0,65,210.980,"1,850.94",Grand Total,259,656.776,"14,519.08",151,130,15,0,"4,197","23,611.008","8,03,669.04",165,"4,456","24,267.784","8,18,188.12",0.00,0,0.000,"4,905.51",0,0,0,0,25,131.575,"72,120.89",25,131.575,"77,026.40",191,500.780,"4,905.51",151,118,0,0,"1,548","5,407.325","76,920.94",0,"1,739","5,908.105","81,826.45","Page 1 of 1     Generated on : 13/03/2025 17:37 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Karnataka     District: All Districts     Block: All Blocks     Year: 2008     Month: January     Collaboration: All Collaborations     Agency:  Karnataka Rural Roads Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bagalkot,2009 - 2010,0,0.000,0.00,0,0,0,0,9,63.570,"1,828.91",0,9,63.570,"1,828.91",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,5,18.500,551.63,3,4,0,0,136,717.010,"23,856.25",13,141,735.510,"24,407.88",0.00,0,0.000,64.61,0,0,0,0,0,0.000,"1,741.67",0,0.000,"1,806.28",2,5.100,64.61,3,1,0,0,63,205.880,"1,786.33",0,65,210.980,"1,850.94",Grand Total,259,656.776,"14,519.08",151,130,15,0,"4,197","23,611.008","8,03,669.04",165,"4,456","24,267.784","8,18,188.12",0.00,0,0.000,"4,905.51",0,0,0,0,25,131.575,"72,120.89",25,131.575,"77,026.40",191,500.780,"4,905.51",151,118,0,0,"1,548","5,407.325","76,920.94",0,"1,739","5,908.105","81,826.45","Page 1 of 1     Generated on : 13/03/2025 17:37 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Karnataka     District: All Districts     Block: All Blocks     Year: 2008     Month: January     Collaboration: All Collaborations     Agency:  Karnataka Rural Roads Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bagalkot,2013 - 2014,3,13.400,499.40,0,3,0,0,8,69.780,"3,116.36",1,11,83.180,"3,615.76",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,5,18.500,551.63,3,4,0,0,136,717.010,"23,856.25",13,141,735.510,"24,407.88",0.00,0,0.000,64.61,0,0,0,0,0,0.000,"1,741.67",0,0.000,"1,806.28",2,5.100,64.61,3,1,0,0,63,205.880,"1,786.33",0,65,210.980,"1,850.94",Grand Total,259,656.776,"14,519.08",151,130,15,0,"4,197","23,611.008","8,03,669.04",165,"4,456","24,267.784","8,18,188.12",0.00,0,0.000,"4,905.51",0,0,0,0,25,131.575,"72,120.89",25,131.575,"77,026.40",191,500.780,"4,905.51",151,118,0,0,"1,548","5,407.325","76,920.94",0,"1,739","5,908.105","81,826.45","Page 1 of 1     Generated on : 13/03/2025 17:37 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Karnataka     District: All Districts     Block: All Blocks     Year: 2008     Month: January     Collaboration: All Collaborations     Agency:  Karnataka Rural Roads Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bagalkot,2020 - 2021,0,0.000,0.00,0,0,0,0,24,147.030,"9,407.91",10,24,147.030,"9,407.91",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,5,18.500,551.63,3,4,0,0,136,717.010,"23,856.25",13,141,735.510,"24,407.88",0.00,0,0.000,64.61,0,0,0,0,0,0.000,"1,741.67",0,0.000,"1,806.28",2,5.100,64.61,3,1,0,0,63,205.880,"1,786.33",0,65,210.980,"1,850.94",Grand Total,259,656.776,"14,519.08",151,130,15,0,"4,197","23,611.008","8,03,669.04",165,"4,456","24,267.784","8,18,188.12",0.00,0,0.000,"4,905.51",0,0,0,0,25,131.575,"72,120.89",25,131.575,"77,026.40",191,500.780,"4,905.51",151,118,0,0,"1,548","5,407.325","76,920.94",0,"1,739","5,908.105","81,826.45","Page 1 of 1     Generated on : 13/03/2025 17:37 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Karnataka     District: All Districts     Block: All Blocks     Year: 2008     Month: January     Collaboration: All Collaborations     Agency:  Karnataka Rural Roads Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bagalkot,2022 - 2023,0,0.000,0.00,0,0,0,0,10,61.730,"3,650.41",2,10,61.730,"3,650.41",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,5,18.500,551.63,3,4,0,0,136,717.010,"23,856.25",13,141,735.510,"24,407.88",0.00,0,0.000,64.61,0,0,0,0,0,0.000,"1,741.67",0,0.000,"1,806.28",2,5.100,64.61,3,1,0,0,63,205.880,"1,786.33",0,65,210.980,"1,850.94",Grand Total,259,656.776,"14,519.08",151,130,15,0,"4,197","23,611.008","8,03,669.04",165,"4,456","24,267.784","8,18,188.12",0.00,0,0.000,"4,905.51",0,0,0,0,25,131.575,"72,120.89",25,131.575,"77,026.40",191,500.780,"4,905.51",151,118,0,0,"1,548","5,407.325","76,920.94",0,"1,739","5,908.105","81,826.45","Page 1 of 1     Generated on : 13/03/2025 17:37 PM     2014 NRRDA, All rights reserved"
