Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Kerala     District: All Districts     Block: All Blocks     Year: 2023     Month: January     Collaboration: All Collaborations     Agency:  Engineering Wing under Panchayati Raj Institutions  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alappuzha,2001 - 2002,21,23.067,579.65,2,18,0,0,0,0.000,0.00,0,21,23.067,579.65,0.00,0,0.000,576.49,0,0,0,0,0,0.000,0.00,0,0.000,576.49,21,21.470,576.49,2,18,0,0,0,0.000,0.00,0,21,21.470,576.49,Total,44,59.658,"1,829.01",6,44,0,0,51,122.957,"7,673.55",0,95,182.615,"9,502.56",0.00,0,0.000,"2,251.34",0,0,0,0,0,0.000,"3,524.75",0,0.000,"5,776.09",43,56.196,"2,251.34",6,44,0,0,35,57.407,"3,524.75",0,78,113.603,"5,776.09",Grand Total,373,703.025,"16,957.48",110,294,0,0,"1,434","4,609.304","3,05,724.33",15,"1,807","5,312.329","3,22,681.81",0.00,0,0.000,"18,603.82",0,0,0,0,0,0.649,"1,90,727.01",0,0.649,"2,10,079.05",369,678.544,"18,603.82",109,293,0,0,"1,132","3,165.448","1,91,815.84",2,"1,501","3,843.992","2,11,167.88","Page 1 of 1     Generated on : 13/03/2025 17:52 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Kerala     District: All Districts     Block: All Blocks     Year: 2023     Month: January     Collaboration: All Collaborations     Agency:  Engineering Wing under Panchayati Raj Institutions  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alappuzha,2003 - 2004,4,6.240,126.08,1,5,0,0,0,0.000,0.00,0,4,6.240,126.08,0.00,0,0.000,111.14,0,0,0,0,0,0.000,0.00,0,0.000,111.14,4,5.950,111.14,1,5,0,0,0,0.000,0.00,0,4,5.950,111.14,Total,44,59.658,"1,829.01",6,44,0,0,51,122.957,"7,673.55",0,95,182.615,"9,502.56",0.00,0,0.000,"2,251.34",0,0,0,0,0,0.000,"3,524.75",0,0.000,"5,776.09",43,56.196,"2,251.34",6,44,0,0,35,57.407,"3,524.75",0,78,113.603,"5,776.09",Grand Total,373,703.025,"16,957.48",110,294,0,0,"1,434","4,609.304","3,05,724.33",15,"1,807","5,312.329","3,22,681.81",0.00,0,0.000,"18,603.82",0,0,0,0,0,0.649,"1,90,727.01",0,0.649,"2,10,079.05",369,678.544,"18,603.82",109,293,0,0,"1,132","3,165.448","1,91,815.84",2,"1,501","3,843.992","2,11,167.88","Page 1 of 1     Generated on : 13/03/2025 17:52 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Kerala     District: All Districts     Block: All Blocks     Year: 2023     Month: January     Collaboration: All Collaborations     Agency:  Engineering Wing under Panchayati Raj Institutions  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alappuzha,2004 - 2005,12,17.101,570.31,1,14,0,0,0,0.000,0.00,0,12,17.101,570.31,0.00,0,0.000,391.21,0,0,0,0,0,0.000,0.00,0,0.000,391.21,12,17.116,391.21,1,14,0,0,0,0.000,0.00,0,12,17.116,391.21,Total,44,59.658,"1,829.01",6,44,0,0,51,122.957,"7,673.55",0,95,182.615,"9,502.56",0.00,0,0.000,"2,251.34",0,0,0,0,0,0.000,"3,524.75",0,0.000,"5,776.09",43,56.196,"2,251.34",6,44,0,0,35,57.407,"3,524.75",0,78,113.603,"5,776.09",Grand Total,373,703.025,"16,957.48",110,294,0,0,"1,434","4,609.304","3,05,724.33",15,"1,807","5,312.329","3,22,681.81",0.00,0,0.000,"18,603.82",0,0,0,0,0,0.649,"1,90,727.01",0,0.649,"2,10,079.05",369,678.544,"18,603.82",109,293,0,0,"1,132","3,165.448","1,91,815.84",2,"1,501","3,843.992","2,11,167.88","Page 1 of 1     Generated on : 13/03/2025 17:52 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Kerala     District: All Districts     Block: All Blocks     Year: 2023     Month: January     Collaboration: All Collaborations     Agency:  Engineering Wing under Panchayati Raj Institutions  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alappuzha,2006 - 2007,7,13.250,552.97,2,7,0,0,0,0.000,0.00,0,7,13.250,552.97,0.00,0,0.000,"1,172.50",0,0,0,0,0,0.000,0.00,0,0.000,"1,172.50",6,11.660,"1,172.50",2,7,0,0,0,0.000,0.00,0,6,11.660,"1,172.50",Total,44,59.658,"1,829.01",6,44,0,0,51,122.957,"7,673.55",0,95,182.615,"9,502.56",0.00,0,0.000,"2,251.34",0,0,0,0,0,0.000,"3,524.75",0,0.000,"5,776.09",43,56.196,"2,251.34",6,44,0,0,35,57.407,"3,524.75",0,78,113.603,"5,776.09",Grand Total,373,703.025,"16,957.48",110,294,0,0,"1,434","4,609.304","3,05,724.33",15,"1,807","5,312.329","3,22,681.81",0.00,0,0.000,"18,603.82",0,0,0,0,0,0.649,"1,90,727.01",0,0.649,"2,10,079.05",369,678.544,"18,603.82",109,293,0,0,"1,132","3,165.448","1,91,815.84",2,"1,501","3,843.992","2,11,167.88","Page 1 of 1     Generated on : 13/03/2025 17:52 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Kerala     District: All Districts     Block: All Blocks     Year: 2023     Month: January     Collaboration: All Collaborations     Agency:  Engineering Wing under Panchayati Raj Institutions  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alappuzha,2007 - 2008,0,0.000,0.00,0,0,0,0,9,13.150,616.94,0,9,13.150,616.94,0.00,0,0.000,0.00,0,0,0,0,0,0.000,669.58,0,0.000,669.58,0,0.000,0.00,0,0,0,0,9,13.150,669.58,0,9,13.150,669.58,Total,44,59.658,"1,829.01",6,44,0,0,51,122.957,"7,673.55",0,95,182.615,"9,502.56",0.00,0,0.000,"2,251.34",0,0,0,0,0,0.000,"3,524.75",0,0.000,"5,776.09",43,56.196,"2,251.34",6,44,0,0,35,57.407,"3,524.75",0,78,113.603,"5,776.09",Grand Total,373,703.025,"16,957.48",110,294,0,0,"1,434","4,609.304","3,05,724.33",15,"1,807","5,312.329","3,22,681.81",0.00,0,0.000,"18,603.82",0,0,0,0,0,0.649,"1,90,727.01",0,0.649,"2,10,079.05",369,678.544,"18,603.82",109,293,0,0,"1,132","3,165.448","1,91,815.84",2,"1,501","3,843.992","2,11,167.88","Page 1 of 1     Generated on : 13/03/2025 17:52 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Kerala     District: All Districts     Block: All Blocks     Year: 2023     Month: January     Collaboration: All Collaborations     Agency:  Engineering Wing under Panchayati Raj Institutions  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alappuzha,2008 - 2009,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,44,59.658,"1,829.01",6,44,0,0,51,122.957,"7,673.55",0,95,182.615,"9,502.56",0.00,0,0.000,"2,251.34",0,0,0,0,0,0.000,"3,524.75",0,0.000,"5,776.09",43,56.196,"2,251.34",6,44,0,0,35,57.407,"3,524.75",0,78,113.603,"5,776.09",Grand Total,373,703.025,"16,957.48",110,294,0,0,"1,434","4,609.304","3,05,724.33",15,"1,807","5,312.329","3,22,681.81",0.00,0,0.000,"18,603.82",0,0,0,0,0,0.649,"1,90,727.01",0,0.649,"2,10,079.05",369,678.544,"18,603.82",109,293,0,0,"1,132","3,165.448","1,91,815.84",2,"1,501","3,843.992","2,11,167.88","Page 1 of 1     Generated on : 13/03/2025 17:52 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Kerala     District: All Districts     Block: All Blocks     Year: 2023     Month: January     Collaboration: All Collaborations     Agency:  Engineering Wing under Panchayati Raj Institutions  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alappuzha,2013 - 2014,0,0.000,0.00,0,0,0,0,17,24.700,"1,561.77",0,17,24.700,"1,561.77",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,649.99",0,0.000,"1,649.99",0,0.000,0.00,0,0,0,0,17,24.155,"1,649.99",0,17,24.155,"1,649.99",Total,44,59.658,"1,829.01",6,44,0,0,51,122.957,"7,673.55",0,95,182.615,"9,502.56",0.00,0,0.000,"2,251.34",0,0,0,0,0,0.000,"3,524.75",0,0.000,"5,776.09",43,56.196,"2,251.34",6,44,0,0,35,57.407,"3,524.75",0,78,113.603,"5,776.09",Grand Total,373,703.025,"16,957.48",110,294,0,0,"1,434","4,609.304","3,05,724.33",15,"1,807","5,312.329","3,22,681.81",0.00,0,0.000,"18,603.82",0,0,0,0,0,0.649,"1,90,727.01",0,0.649,"2,10,079.05",369,678.544,"18,603.82",109,293,0,0,"1,132","3,165.448","1,91,815.84",2,"1,501","3,843.992","2,11,167.88","Page 1 of 1     Generated on : 13/03/2025 17:52 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Kerala     District: All Districts     Block: All Blocks     Year: 2023     Month: January     Collaboration: All Collaborations     Agency:  Engineering Wing under Panchayati Raj Institutions  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alappuzha,2016 - 2017,0,0.000,0.00,0,0,0,0,5,6.739,581.88,0,5,6.739,581.88,0.00,0,0.000,0.00,0,0,0,0,0,0.000,336.41,0,0.000,336.41,0,0.000,0.00,0,0,0,0,4,5.689,336.41,0,4,5.689,336.41,Total,44,59.658,"1,829.01",6,44,0,0,51,122.957,"7,673.55",0,95,182.615,"9,502.56",0.00,0,0.000,"2,251.34",0,0,0,0,0,0.000,"3,524.75",0,0.000,"5,776.09",43,56.196,"2,251.34",6,44,0,0,35,57.407,"3,524.75",0,78,113.603,"5,776.09",Grand Total,373,703.025,"16,957.48",110,294,0,0,"1,434","4,609.304","3,05,724.33",15,"1,807","5,312.329","3,22,681.81",0.00,0,0.000,"18,603.82",0,0,0,0,0,0.649,"1,90,727.01",0,0.649,"2,10,079.05",369,678.544,"18,603.82",109,293,0,0,"1,132","3,165.448","1,91,815.84",2,"1,501","3,843.992","2,11,167.88","Page 1 of 1     Generated on : 13/03/2025 17:52 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Kerala     District: All Districts     Block: All Blocks     Year: 2023     Month: January     Collaboration: All Collaborations     Agency:  Engineering Wing under Panchayati Raj Institutions  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alappuzha,2017 - 2018,0,0.000,0.00,0,0,0,0,6,18.385,"1,230.35",0,6,18.385,"1,230.35",0.00,0,0.000,0.00,0,0,0,0,0,0.000,826.42,0,0.000,826.42,0,0.000,0.00,0,0,0,0,5,14.413,826.42,0,5,14.413,826.42,Total,44,59.658,"1,829.01",6,44,0,0,51,122.957,"7,673.55",0,95,182.615,"9,502.56",0.00,0,0.000,"2,251.34",0,0,0,0,0,0.000,"3,524.75",0,0.000,"5,776.09",43,56.196,"2,251.34",6,44,0,0,35,57.407,"3,524.75",0,78,113.603,"5,776.09",Grand Total,373,703.025,"16,957.48",110,294,0,0,"1,434","4,609.304","3,05,724.33",15,"1,807","5,312.329","3,22,681.81",0.00,0,0.000,"18,603.82",0,0,0,0,0,0.649,"1,90,727.01",0,0.649,"2,10,079.05",369,678.544,"18,603.82",109,293,0,0,"1,132","3,165.448","1,91,815.84",2,"1,501","3,843.992","2,11,167.88","Page 1 of 1     Generated on : 13/03/2025 17:52 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Kerala     District: All Districts     Block: All Blocks     Year: 2023     Month: January     Collaboration: All Collaborations     Agency:  Engineering Wing under Panchayati Raj Institutions  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Alappuzha,2020 - 2021,0,0.000,0.00,0,0,0,0,1,4.110,295.96,0,1,4.110,295.96,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,44,59.658,"1,829.01",6,44,0,0,51,122.957,"7,673.55",0,95,182.615,"9,502.56",0.00,0,0.000,"2,251.34",0,0,0,0,0,0.000,"3,524.75",0,0.000,"5,776.09",43,56.196,"2,251.34",6,44,0,0,35,57.407,"3,524.75",0,78,113.603,"5,776.09",Grand Total,373,703.025,"16,957.48",110,294,0,0,"1,434","4,609.304","3,05,724.33",15,"1,807","5,312.329","3,22,681.81",0.00,0,0.000,"18,603.82",0,0,0,0,0,0.649,"1,90,727.01",0,0.649,"2,10,079.05",369,678.544,"18,603.82",109,293,0,0,"1,132","3,165.448","1,91,815.84",2,"1,501","3,843.992","2,11,167.88","Page 1 of 1     Generated on : 13/03/2025 17:52 PM     2014 NRRDA, All rights reserved"
