Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Madhya Pradesh     District: All Districts     Block: All Blocks     Year: 2011     Month: January     Collaboration: All Collaborations     Agency:  Madhya Pradesh Rural Roads Development Authority  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agar,2000 - 2001,0,0.000,0.00,0,0,0,0,2,14.750,155.56,0,2,14.750,155.56,0.00,0,0.000,0.00,0,0,0,0,0,0.000,205.12,0,0.000,205.12,0,0.000,0.00,0,0,0,0,2,14.750,205.12,0,2,14.750,205.12,Total,193,720.310,"26,712.21",81,155,0,0,38,293.004,"21,145.13",32,231,"1,013.314","47,857.34",0.00,1,2.000,"5,940.95",1,0,0,0,0,0.000,986.40,1,2.000,"6,927.35",66,283.580,"5,982.86",68,15,0,0,13,45.651,996.01,0,79,329.231,"6,978.87",Grand Total,"14,753","56,748.491","18,77,825.41","5,622","9,481","2,426",12,"6,088","37,966.369","20,20,905.41",1748,"20,841","94,714.860","38,98,730.82",0.00,67,272.779,"6,25,590.14",23,48,11,0,93,410.797,"3,47,621.91",160,683.576,"9,75,872.91","6,556","27,377.295","6,33,362.81","5,132","3,034",525,1,"2,866","12,102.099","3,54,274.08",3,"9,422","39,479.394","9,90,463.50","Page 1 of 1     Generated on : 13/03/2025 19:09 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Madhya Pradesh     District: All Districts     Block: All Blocks     Year: 2011     Month: January     Collaboration: All Collaborations     Agency:  Madhya Pradesh Rural Roads Development Authority  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agar,2001 - 2002,6,38.820,652.83,9,2,0,0,1,3.900,51.51,0,7,42.720,704.34,0.00,0,0.000,709.85,0,0,0,0,0,0.000,46.53,0,0.000,756.38,6,38.820,709.85,9,2,0,0,1,3.900,46.53,0,7,42.720,756.38,Total,193,720.310,"26,712.21",81,155,0,0,38,293.004,"21,145.13",32,231,"1,013.314","47,857.34",0.00,1,2.000,"5,940.95",1,0,0,0,0,0.000,986.40,1,2.000,"6,927.35",66,283.580,"5,982.86",68,15,0,0,13,45.651,996.01,0,79,329.231,"6,978.87",Grand Total,"14,753","56,748.491","18,77,825.41","5,622","9,481","2,426",12,"6,088","37,966.369","20,20,905.41",1748,"20,841","94,714.860","38,98,730.82",0.00,67,272.779,"6,25,590.14",23,48,11,0,93,410.797,"3,47,621.91",160,683.576,"9,75,872.91","6,556","27,377.295","6,33,362.81","5,132","3,034",525,1,"2,866","12,102.099","3,54,274.08",3,"9,422","39,479.394","9,90,463.50","Page 1 of 1     Generated on : 13/03/2025 19:09 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Madhya Pradesh     District: All Districts     Block: All Blocks     Year: 2011     Month: January     Collaboration: All Collaborations     Agency:  Madhya Pradesh Rural Roads Development Authority  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agar,2003 - 2004,6,35.340,856.00,8,0,0,0,0,0.000,0.00,0,6,35.340,856.00,0.00,0,0.000,611.36,0,0,0,0,0,0.000,0.00,0,0.000,611.36,6,36.039,611.36,8,0,0,0,0,0.000,0.00,0,6,36.039,611.36,Total,193,720.310,"26,712.21",81,155,0,0,38,293.004,"21,145.13",32,231,"1,013.314","47,857.34",0.00,1,2.000,"5,940.95",1,0,0,0,0,0.000,986.40,1,2.000,"6,927.35",66,283.580,"5,982.86",68,15,0,0,13,45.651,996.01,0,79,329.231,"6,978.87",Grand Total,"14,753","56,748.491","18,77,825.41","5,622","9,481","2,426",12,"6,088","37,966.369","20,20,905.41",1748,"20,841","94,714.860","38,98,730.82",0.00,67,272.779,"6,25,590.14",23,48,11,0,93,410.797,"3,47,621.91",160,683.576,"9,75,872.91","6,556","27,377.295","6,33,362.81","5,132","3,034",525,1,"2,866","12,102.099","3,54,274.08",3,"9,422","39,479.394","9,90,463.50","Page 1 of 1     Generated on : 13/03/2025 19:09 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Madhya Pradesh     District: All Districts     Block: All Blocks     Year: 2011     Month: January     Collaboration: All Collaborations     Agency:  Madhya Pradesh Rural Roads Development Authority  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agar,2004 - 2005,15,64.340,"1,388.92",15,4,0,0,0,0.000,0.00,0,15,64.340,"1,388.92",0.00,0,0.000,929.67,0,0,0,0,0,0.000,0.00,0,0.000,929.67,15,66.099,929.67,15,4,0,0,0,0.000,0.00,0,15,66.099,929.67,Total,193,720.310,"26,712.21",81,155,0,0,38,293.004,"21,145.13",32,231,"1,013.314","47,857.34",0.00,1,2.000,"5,940.95",1,0,0,0,0,0.000,986.40,1,2.000,"6,927.35",66,283.580,"5,982.86",68,15,0,0,13,45.651,996.01,0,79,329.231,"6,978.87",Grand Total,"14,753","56,748.491","18,77,825.41","5,622","9,481","2,426",12,"6,088","37,966.369","20,20,905.41",1748,"20,841","94,714.860","38,98,730.82",0.00,67,272.779,"6,25,590.14",23,48,11,0,93,410.797,"3,47,621.91",160,683.576,"9,75,872.91","6,556","27,377.295","6,33,362.81","5,132","3,034",525,1,"2,866","12,102.099","3,54,274.08",3,"9,422","39,479.394","9,90,463.50","Page 1 of 1     Generated on : 13/03/2025 19:09 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Madhya Pradesh     District: All Districts     Block: All Blocks     Year: 2011     Month: January     Collaboration: All Collaborations     Agency:  Madhya Pradesh Rural Roads Development Authority  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agar,2005 - 2006,14,49.040,"1,198.16",14,6,0,0,2,7.430,146.13,0,16,56.470,"1,344.29",0.00,0,0.000,903.23,0,0,0,0,0,0.000,95.34,0,0.000,998.57,11,32.189,906.76,10,3,0,0,2,7.652,95.34,0,13,39.841,"1,002.10",Total,193,720.310,"26,712.21",81,155,0,0,38,293.004,"21,145.13",32,231,"1,013.314","47,857.34",0.00,1,2.000,"5,940.95",1,0,0,0,0,0.000,986.40,1,2.000,"6,927.35",66,283.580,"5,982.86",68,15,0,0,13,45.651,996.01,0,79,329.231,"6,978.87",Grand Total,"14,753","56,748.491","18,77,825.41","5,622","9,481","2,426",12,"6,088","37,966.369","20,20,905.41",1748,"20,841","94,714.860","38,98,730.82",0.00,67,272.779,"6,25,590.14",23,48,11,0,93,410.797,"3,47,621.91",160,683.576,"9,75,872.91","6,556","27,377.295","6,33,362.81","5,132","3,034",525,1,"2,866","12,102.099","3,54,274.08",3,"9,422","39,479.394","9,90,463.50","Page 1 of 1     Generated on : 13/03/2025 19:09 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Madhya Pradesh     District: All Districts     Block: All Blocks     Year: 2011     Month: January     Collaboration: All Collaborations     Agency:  Madhya Pradesh Rural Roads Development Authority  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agar,2006 - 2007,32,128.410,"2,774.51",31,7,0,0,0,0.000,0.00,0,32,128.410,"2,774.51",0.00,1,2.000,"2,380.71",1,0,0,0,0,0.000,0.00,1,2.000,"2,380.71",26,100.853,"2,419.09",24,6,0,0,0,0.000,0.00,0,26,100.853,"2,419.09",Total,193,720.310,"26,712.21",81,155,0,0,38,293.004,"21,145.13",32,231,"1,013.314","47,857.34",0.00,1,2.000,"5,940.95",1,0,0,0,0,0.000,986.40,1,2.000,"6,927.35",66,283.580,"5,982.86",68,15,0,0,13,45.651,996.01,0,79,329.231,"6,978.87",Grand Total,"14,753","56,748.491","18,77,825.41","5,622","9,481","2,426",12,"6,088","37,966.369","20,20,905.41",1748,"20,841","94,714.860","38,98,730.82",0.00,67,272.779,"6,25,590.14",23,48,11,0,93,410.797,"3,47,621.91",160,683.576,"9,75,872.91","6,556","27,377.295","6,33,362.81","5,132","3,034",525,1,"2,866","12,102.099","3,54,274.08",3,"9,422","39,479.394","9,90,463.50","Page 1 of 1     Generated on : 13/03/2025 19:09 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Madhya Pradesh     District: All Districts     Block: All Blocks     Year: 2011     Month: January     Collaboration: All Collaborations     Agency:  Madhya Pradesh Rural Roads Development Authority  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agar,2007 - 2008,4,26.600,635.70,4,1,0,0,0,0.000,0.00,0,4,26.600,635.70,0.00,0,0.000,406.13,0,0,0,0,0,0.000,0.00,0,0.000,406.13,2,9.580,406.13,2,0,0,0,0,0.000,0.00,0,2,9.580,406.13,Total,193,720.310,"26,712.21",81,155,0,0,38,293.004,"21,145.13",32,231,"1,013.314","47,857.34",0.00,1,2.000,"5,940.95",1,0,0,0,0,0.000,986.40,1,2.000,"6,927.35",66,283.580,"5,982.86",68,15,0,0,13,45.651,996.01,0,79,329.231,"6,978.87",Grand Total,"14,753","56,748.491","18,77,825.41","5,622","9,481","2,426",12,"6,088","37,966.369","20,20,905.41",1748,"20,841","94,714.860","38,98,730.82",0.00,67,272.779,"6,25,590.14",23,48,11,0,93,410.797,"3,47,621.91",160,683.576,"9,75,872.91","6,556","27,377.295","6,33,362.81","5,132","3,034",525,1,"2,866","12,102.099","3,54,274.08",3,"9,422","39,479.394","9,90,463.50","Page 1 of 1     Generated on : 13/03/2025 19:09 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Madhya Pradesh     District: All Districts     Block: All Blocks     Year: 2011     Month: January     Collaboration: All Collaborations     Agency:  Madhya Pradesh Rural Roads Development Authority  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agar,2008 - 2009,0,0.000,0.00,0,0,0,0,11,30.530,885.43,0,11,30.530,885.43,0.00,0,0.000,0.00,0,0,0,0,0,0.000,639.41,0,0.000,639.41,0,0.000,0.00,0,0,0,0,8,19.349,649.02,0,8,19.349,649.02,Total,193,720.310,"26,712.21",81,155,0,0,38,293.004,"21,145.13",32,231,"1,013.314","47,857.34",0.00,1,2.000,"5,940.95",1,0,0,0,0,0.000,986.40,1,2.000,"6,927.35",66,283.580,"5,982.86",68,15,0,0,13,45.651,996.01,0,79,329.231,"6,978.87",Grand Total,"14,753","56,748.491","18,77,825.41","5,622","9,481","2,426",12,"6,088","37,966.369","20,20,905.41",1748,"20,841","94,714.860","38,98,730.82",0.00,67,272.779,"6,25,590.14",23,48,11,0,93,410.797,"3,47,621.91",160,683.576,"9,75,872.91","6,556","27,377.295","6,33,362.81","5,132","3,034",525,1,"2,866","12,102.099","3,54,274.08",3,"9,422","39,479.394","9,90,463.50","Page 1 of 1     Generated on : 13/03/2025 19:09 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Madhya Pradesh     District: All Districts     Block: All Blocks     Year: 2011     Month: January     Collaboration: All Collaborations     Agency:  Madhya Pradesh Rural Roads Development Authority  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agar,2010 - 2011,0,0.000,779.42,0,0,0,0,0,0.000,0.00,3,0,0.000,779.42,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,193,720.310,"26,712.21",81,155,0,0,38,293.004,"21,145.13",32,231,"1,013.314","47,857.34",0.00,1,2.000,"5,940.95",1,0,0,0,0,0.000,986.40,1,2.000,"6,927.35",66,283.580,"5,982.86",68,15,0,0,13,45.651,996.01,0,79,329.231,"6,978.87",Grand Total,"14,753","56,748.491","18,77,825.41","5,622","9,481","2,426",12,"6,088","37,966.369","20,20,905.41",1748,"20,841","94,714.860","38,98,730.82",0.00,67,272.779,"6,25,590.14",23,48,11,0,93,410.797,"3,47,621.91",160,683.576,"9,75,872.91","6,556","27,377.295","6,33,362.81","5,132","3,034",525,1,"2,866","12,102.099","3,54,274.08",3,"9,422","39,479.394","9,90,463.50","Page 1 of 1     Generated on : 13/03/2025 19:09 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Madhya Pradesh     District: All Districts     Block: All Blocks     Year: 2011     Month: January     Collaboration: All Collaborations     Agency:  Madhya Pradesh Rural Roads Development Authority  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Agar,2011 - 2012,4,33.000,"1,119.93",0,8,0,0,0,0.000,0.00,0,4,33.000,"1,119.93",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,193,720.310,"26,712.21",81,155,0,0,38,293.004,"21,145.13",32,231,"1,013.314","47,857.34",0.00,1,2.000,"5,940.95",1,0,0,0,0,0.000,986.40,1,2.000,"6,927.35",66,283.580,"5,982.86",68,15,0,0,13,45.651,996.01,0,79,329.231,"6,978.87",Grand Total,"14,753","56,748.491","18,77,825.41","5,622","9,481","2,426",12,"6,088","37,966.369","20,20,905.41",1748,"20,841","94,714.860","38,98,730.82",0.00,67,272.779,"6,25,590.14",23,48,11,0,93,410.797,"3,47,621.91",160,683.576,"9,75,872.91","6,556","27,377.295","6,33,362.81","5,132","3,034",525,1,"2,866","12,102.099","3,54,274.08",3,"9,422","39,479.394","9,90,463.50","Page 1 of 1     Generated on : 13/03/2025 19:09 PM     2014 NRRDA, All rights reserved"
