Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Manipur     District: All Districts     Block: All Blocks     Year: 2021     Month: January     Collaboration: All Collaborations     Agency:  Manipur State Rural Roads Development Agency (MSRRDA)  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bishnupur,2000 - 2001,1,0.000,15.18,0,0,0,0,60,31.400,284.82,0,61,31.400,300.00,0.00,0,0.000,6.98,0,0,0,0,0,0.000,0.00,0,0.000,6.98,1,0.010,6.98,0,0,0,0,60,31.430,0.00,0,61,31.440,6.98,Total,2,2.000,119.78,0,0,0,0,159,434.869,"21,887.48",7,161,436.869,"22,007.26",0.00,0,0.000,105.19,0,0,0,0,0,0.000,"9,930.86",0,0.000,"11,000.07",2,2.010,105.19,0,0,0,0,142,375.900,"9,930.86",1,144,377.910,"11,000.07",Grand Total,"1,159","9,736.104","4,49,211.74",80,210,362,0,810,"2,439.071","1,46,048.16",211,"1,969","12,175.175","5,95,259.90",0.00,12,98.165,"2,27,460.38",0,0,2,0,2,2.670,"48,137.24",14,100.835,"2,90,383.92",875,"6,483.066","2,28,180.99",80,207,298,0,690,"1,618.618","48,137.24",60,"1,565","8,101.684","2,91,104.53","Page 1 of 1     Generated on : 14/03/2025 16:59 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Manipur     District: All Districts     Block: All Blocks     Year: 2021     Month: January     Collaboration: All Collaborations     Agency:  Manipur State Rural Roads Development Agency (MSRRDA)  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bishnupur,2001 - 2002,0,0.000,0.00,0,0,0,0,21,75.280,893.46,0,21,75.280,893.46,0.00,0,0.000,0.00,0,0,0,0,0,0.000,893.45,0,0.000,893.45,0,0.000,0.00,0,0,0,0,21,101.800,893.45,0,21,101.800,893.45,Total,2,2.000,119.78,0,0,0,0,159,434.869,"21,887.48",7,161,436.869,"22,007.26",0.00,0,0.000,105.19,0,0,0,0,0,0.000,"9,930.86",0,0.000,"11,000.07",2,2.010,105.19,0,0,0,0,142,375.900,"9,930.86",1,144,377.910,"11,000.07",Grand Total,"1,159","9,736.104","4,49,211.74",80,210,362,0,810,"2,439.071","1,46,048.16",211,"1,969","12,175.175","5,95,259.90",0.00,12,98.165,"2,27,460.38",0,0,2,0,2,2.670,"48,137.24",14,100.835,"2,90,383.92",875,"6,483.066","2,28,180.99",80,207,298,0,690,"1,618.618","48,137.24",60,"1,565","8,101.684","2,91,104.53","Page 1 of 1     Generated on : 14/03/2025 16:59 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Manipur     District: All Districts     Block: All Blocks     Year: 2021     Month: January     Collaboration: All Collaborations     Agency:  Manipur State Rural Roads Development Agency (MSRRDA)  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bishnupur,2006 - 2007,0,0.000,0.00,0,0,0,0,4,34.950,"1,027.11",0,4,34.950,"1,027.11",0.00,0,0.000,0.00,0,0,0,0,0,0.000,625.04,0,0.000,625.04,0,0.000,0.00,0,0,0,0,4,34.950,625.04,0,4,34.950,625.04,Total,2,2.000,119.78,0,0,0,0,159,434.869,"21,887.48",7,161,436.869,"22,007.26",0.00,0,0.000,105.19,0,0,0,0,0,0.000,"9,930.86",0,0.000,"11,000.07",2,2.010,105.19,0,0,0,0,142,375.900,"9,930.86",1,144,377.910,"11,000.07",Grand Total,"1,159","9,736.104","4,49,211.74",80,210,362,0,810,"2,439.071","1,46,048.16",211,"1,969","12,175.175","5,95,259.90",0.00,12,98.165,"2,27,460.38",0,0,2,0,2,2.670,"48,137.24",14,100.835,"2,90,383.92",875,"6,483.066","2,28,180.99",80,207,298,0,690,"1,618.618","48,137.24",60,"1,565","8,101.684","2,91,104.53","Page 1 of 1     Generated on : 14/03/2025 16:59 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Manipur     District: All Districts     Block: All Blocks     Year: 2021     Month: January     Collaboration: All Collaborations     Agency:  Manipur State Rural Roads Development Agency (MSRRDA)  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bishnupur,2008 - 2009,0,0.000,0.00,0,0,0,0,13,51.860,"1,897.52",0,13,51.860,"1,897.52",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,334.34",0,0.000,"1,334.34",0,0.000,0.00,0,0,0,0,13,51.860,"1,334.34",0,13,51.860,"1,334.34",Total,2,2.000,119.78,0,0,0,0,159,434.869,"21,887.48",7,161,436.869,"22,007.26",0.00,0,0.000,105.19,0,0,0,0,0,0.000,"9,930.86",0,0.000,"11,000.07",2,2.010,105.19,0,0,0,0,142,375.900,"9,930.86",1,144,377.910,"11,000.07",Grand Total,"1,159","9,736.104","4,49,211.74",80,210,362,0,810,"2,439.071","1,46,048.16",211,"1,969","12,175.175","5,95,259.90",0.00,12,98.165,"2,27,460.38",0,0,2,0,2,2.670,"48,137.24",14,100.835,"2,90,383.92",875,"6,483.066","2,28,180.99",80,207,298,0,690,"1,618.618","48,137.24",60,"1,565","8,101.684","2,91,104.53","Page 1 of 1     Generated on : 14/03/2025 16:59 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Manipur     District: All Districts     Block: All Blocks     Year: 2021     Month: January     Collaboration: All Collaborations     Agency:  Manipur State Rural Roads Development Agency (MSRRDA)  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bishnupur,2012 - 2013,0,0.000,0.00,0,0,0,0,0,0.000,73.66,1,0,0.000,73.66,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,59.07,0,0.000,0.00,0,0,0,0,0,0.000,0.00,1,0,0.000,59.07,Total,2,2.000,119.78,0,0,0,0,159,434.869,"21,887.48",7,161,436.869,"22,007.26",0.00,0,0.000,105.19,0,0,0,0,0,0.000,"9,930.86",0,0.000,"11,000.07",2,2.010,105.19,0,0,0,0,142,375.900,"9,930.86",1,144,377.910,"11,000.07",Grand Total,"1,159","9,736.104","4,49,211.74",80,210,362,0,810,"2,439.071","1,46,048.16",211,"1,969","12,175.175","5,95,259.90",0.00,12,98.165,"2,27,460.38",0,0,2,0,2,2.670,"48,137.24",14,100.835,"2,90,383.92",875,"6,483.066","2,28,180.99",80,207,298,0,690,"1,618.618","48,137.24",60,"1,565","8,101.684","2,91,104.53","Page 1 of 1     Generated on : 14/03/2025 16:59 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Manipur     District: All Districts     Block: All Blocks     Year: 2021     Month: January     Collaboration: All Collaborations     Agency:  Manipur State Rural Roads Development Agency (MSRRDA)  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bishnupur,2013 - 2014,0,0.000,0.00,0,0,0,0,15,52.772,"2,619.09",0,15,52.772,"2,619.09",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"2,407.65",0,0.000,"2,407.65",0,0.000,0.00,0,0,0,0,15,52.650,"2,407.65",0,15,52.650,"2,407.65",Total,2,2.000,119.78,0,0,0,0,159,434.869,"21,887.48",7,161,436.869,"22,007.26",0.00,0,0.000,105.19,0,0,0,0,0,0.000,"9,930.86",0,0.000,"11,000.07",2,2.010,105.19,0,0,0,0,142,375.900,"9,930.86",1,144,377.910,"11,000.07",Grand Total,"1,159","9,736.104","4,49,211.74",80,210,362,0,810,"2,439.071","1,46,048.16",211,"1,969","12,175.175","5,95,259.90",0.00,12,98.165,"2,27,460.38",0,0,2,0,2,2.670,"48,137.24",14,100.835,"2,90,383.92",875,"6,483.066","2,28,180.99",80,207,298,0,690,"1,618.618","48,137.24",60,"1,565","8,101.684","2,91,104.53","Page 1 of 1     Generated on : 14/03/2025 16:59 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Manipur     District: All Districts     Block: All Blocks     Year: 2021     Month: January     Collaboration: All Collaborations     Agency:  Manipur State Rural Roads Development Agency (MSRRDA)  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bishnupur,2014 - 2015,1,2.000,104.60,0,0,0,0,21,74.347,"3,606.01",0,22,76.347,"3,710.61",0.00,0,0.000,98.21,0,0,0,0,0,0.000,"3,401.19",0,0.000,"3,499.40",1,2.000,98.21,0,0,0,0,21,74.560,"3,401.19",0,22,76.560,"3,499.40",Total,2,2.000,119.78,0,0,0,0,159,434.869,"21,887.48",7,161,436.869,"22,007.26",0.00,0,0.000,105.19,0,0,0,0,0,0.000,"9,930.86",0,0.000,"11,000.07",2,2.010,105.19,0,0,0,0,142,375.900,"9,930.86",1,144,377.910,"11,000.07",Grand Total,"1,159","9,736.104","4,49,211.74",80,210,362,0,810,"2,439.071","1,46,048.16",211,"1,969","12,175.175","5,95,259.90",0.00,12,98.165,"2,27,460.38",0,0,2,0,2,2.670,"48,137.24",14,100.835,"2,90,383.92",875,"6,483.066","2,28,180.99",80,207,298,0,690,"1,618.618","48,137.24",60,"1,565","8,101.684","2,91,104.53","Page 1 of 1     Generated on : 14/03/2025 16:59 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Manipur     District: All Districts     Block: All Blocks     Year: 2021     Month: January     Collaboration: All Collaborations     Agency:  Manipur State Rural Roads Development Agency (MSRRDA)  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bishnupur,2017 - 2018,0,0.000,0.00,0,0,0,0,13,39.480,"5,070.16",5,13,39.480,"5,070.16",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,262.08",0,0.000,"1,995.06",0,0.000,0.00,0,0,0,0,8,28.650,"1,262.08",0,8,28.650,"1,995.06",Total,2,2.000,119.78,0,0,0,0,159,434.869,"21,887.48",7,161,436.869,"22,007.26",0.00,0,0.000,105.19,0,0,0,0,0,0.000,"9,930.86",0,0.000,"11,000.07",2,2.010,105.19,0,0,0,0,142,375.900,"9,930.86",1,144,377.910,"11,000.07",Grand Total,"1,159","9,736.104","4,49,211.74",80,210,362,0,810,"2,439.071","1,46,048.16",211,"1,969","12,175.175","5,95,259.90",0.00,12,98.165,"2,27,460.38",0,0,2,0,2,2.670,"48,137.24",14,100.835,"2,90,383.92",875,"6,483.066","2,28,180.99",80,207,298,0,690,"1,618.618","48,137.24",60,"1,565","8,101.684","2,91,104.53","Page 1 of 1     Generated on : 14/03/2025 16:59 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Manipur     District: All Districts     Block: All Blocks     Year: 2021     Month: January     Collaboration: All Collaborations     Agency:  Manipur State Rural Roads Development Agency (MSRRDA)  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bishnupur,2018 - 2019,0,0.000,0.00,0,0,0,0,0,0.000,603.03,1,0,0.000,603.03,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,171.97,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0,0.000,171.97,Total,2,2.000,119.78,0,0,0,0,159,434.869,"21,887.48",7,161,436.869,"22,007.26",0.00,0,0.000,105.19,0,0,0,0,0,0.000,"9,930.86",0,0.000,"11,000.07",2,2.010,105.19,0,0,0,0,142,375.900,"9,930.86",1,144,377.910,"11,000.07",Grand Total,"1,159","9,736.104","4,49,211.74",80,210,362,0,810,"2,439.071","1,46,048.16",211,"1,969","12,175.175","5,95,259.90",0.00,12,98.165,"2,27,460.38",0,0,2,0,2,2.670,"48,137.24",14,100.835,"2,90,383.92",875,"6,483.066","2,28,180.99",80,207,298,0,690,"1,618.618","48,137.24",60,"1,565","8,101.684","2,91,104.53","Page 1 of 1     Generated on : 14/03/2025 16:59 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Manipur     District: All Districts     Block: All Blocks     Year: 2021     Month: January     Collaboration: All Collaborations     Agency:  Manipur State Rural Roads Development Agency (MSRRDA)  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Bishnupur,2019 - 2020,0,0.000,0.00,0,0,0,0,7,35.570,"2,896.18",0,7,35.570,"2,896.18",0.00,0,0.000,0.00,0,0,0,0,0,0.000,7.11,0,0.000,7.11,0,0.000,0.00,0,0,0,0,0,0.000,7.11,0,0,0.000,7.11,Total,2,2.000,119.78,0,0,0,0,159,434.869,"21,887.48",7,161,436.869,"22,007.26",0.00,0,0.000,105.19,0,0,0,0,0,0.000,"9,930.86",0,0.000,"11,000.07",2,2.010,105.19,0,0,0,0,142,375.900,"9,930.86",1,144,377.910,"11,000.07",Grand Total,"1,159","9,736.104","4,49,211.74",80,210,362,0,810,"2,439.071","1,46,048.16",211,"1,969","12,175.175","5,95,259.90",0.00,12,98.165,"2,27,460.38",0,0,2,0,2,2.670,"48,137.24",14,100.835,"2,90,383.92",875,"6,483.066","2,28,180.99",80,207,298,0,690,"1,618.618","48,137.24",60,"1,565","8,101.684","2,91,104.53","Page 1 of 1     Generated on : 14/03/2025 16:59 PM     2014 NRRDA, All rights reserved"
