Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Nagaland     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  State Roads and Bridges Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dimapur,2000 - 2001,6,32.500,32.50,0,0,0,0,3,22.000,165.00,0,9,54.500,197.50,0.00,0,0.000,72.42,0,0,0,0,0,0.000,167.31,0,0.000,239.73,6,32.500,72.42,0,0,0,0,3,22.000,167.31,0,9,54.500,239.73,Total,12,128.160,"3,004.47",0,2,1,0,17,146.230,"5,252.88",2,29,274.390,"8,257.35",0.00,0,0.000,"2,453.43",0,0,0,0,0,0.000,"3,140.17",0,0.000,"6,208.92",12,128.160,"2,453.43",0,2,1,0,14,123.050,"3,140.17",2,26,251.210,"6,208.92",Grand Total,257,"3,129.940","93,446.42",24,40,45,0,144,"1,814.691","1,04,296.17",53,401,"4,944.631","1,97,742.59",0.00,0,0.000,"81,745.72",0,0,0,0,0,0.000,"42,641.12",0,0.000,"1,35,099.91",241,"3,061.060","81,745.72",24,40,35,0,86,"1,140.995","42,858.48",46,327,"4,202.055","1,35,332.30","Page 1 of 1     Generated on : 13/03/2025 20:54 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Nagaland     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  State Roads and Bridges Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dimapur,2001 - 2002,1,9.000,192.64,0,0,1,0,2,15.500,239.41,0,3,24.500,432.05,0.00,0,0.000,193.02,0,0,0,0,0,0.000,243.48,0,0.000,436.50,1,9.000,193.02,0,0,1,0,2,15.500,243.48,0,3,24.500,436.50,Total,12,128.160,"3,004.47",0,2,1,0,17,146.230,"5,252.88",2,29,274.390,"8,257.35",0.00,0,0.000,"2,453.43",0,0,0,0,0,0.000,"3,140.17",0,0.000,"6,208.92",12,128.160,"2,453.43",0,2,1,0,14,123.050,"3,140.17",2,26,251.210,"6,208.92",Grand Total,257,"3,129.940","93,446.42",24,40,45,0,144,"1,814.691","1,04,296.17",53,401,"4,944.631","1,97,742.59",0.00,0,0.000,"81,745.72",0,0,0,0,0,0.000,"42,641.12",0,0.000,"1,35,099.91",241,"3,061.060","81,745.72",24,40,35,0,86,"1,140.995","42,858.48",46,327,"4,202.055","1,35,332.30","Page 1 of 1     Generated on : 13/03/2025 20:54 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Nagaland     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  State Roads and Bridges Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dimapur,2003 - 2004,1,14.000,128.02,0,1,0,0,1,9.000,106.45,0,2,23.000,234.47,0.00,0,0.000,128.00,0,0,0,0,0,0.000,106.46,0,0.000,234.46,1,14.000,128.00,0,1,0,0,1,9.000,106.46,0,2,23.000,234.46,Total,12,128.160,"3,004.47",0,2,1,0,17,146.230,"5,252.88",2,29,274.390,"8,257.35",0.00,0,0.000,"2,453.43",0,0,0,0,0,0.000,"3,140.17",0,0.000,"6,208.92",12,128.160,"2,453.43",0,2,1,0,14,123.050,"3,140.17",2,26,251.210,"6,208.92",Grand Total,257,"3,129.940","93,446.42",24,40,45,0,144,"1,814.691","1,04,296.17",53,401,"4,944.631","1,97,742.59",0.00,0,0.000,"81,745.72",0,0,0,0,0,0.000,"42,641.12",0,0.000,"1,35,099.91",241,"3,061.060","81,745.72",24,40,35,0,86,"1,140.995","42,858.48",46,327,"4,202.055","1,35,332.30","Page 1 of 1     Generated on : 13/03/2025 20:54 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Nagaland     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  State Roads and Bridges Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dimapur,2005 - 2006,1,24.660,462.67,0,1,0,0,2,25.850,379.40,0,3,50.510,842.07,0.00,0,0.000,462.78,0,0,0,0,0,0.000,377.93,0,0.000,840.71,1,24.660,462.78,0,1,0,0,2,25.850,377.93,0,3,50.510,840.71,Total,12,128.160,"3,004.47",0,2,1,0,17,146.230,"5,252.88",2,29,274.390,"8,257.35",0.00,0,0.000,"2,453.43",0,0,0,0,0,0.000,"3,140.17",0,0.000,"6,208.92",12,128.160,"2,453.43",0,2,1,0,14,123.050,"3,140.17",2,26,251.210,"6,208.92",Grand Total,257,"3,129.940","93,446.42",24,40,45,0,144,"1,814.691","1,04,296.17",53,401,"4,944.631","1,97,742.59",0.00,0,0.000,"81,745.72",0,0,0,0,0,0.000,"42,641.12",0,0.000,"1,35,099.91",241,"3,061.060","81,745.72",24,40,35,0,86,"1,140.995","42,858.48",46,327,"4,202.055","1,35,332.30","Page 1 of 1     Generated on : 13/03/2025 20:54 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Nagaland     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  State Roads and Bridges Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dimapur,2006 - 2007,0,0.000,0.00,0,0,0,0,4,31.000,631.01,0,4,31.000,631.01,0.00,0,0.000,0.00,0,0,0,0,0,0.000,638.59,0,0.000,638.59,0,0.000,0.00,0,0,0,0,4,31.000,638.59,0,4,31.000,638.59,Total,12,128.160,"3,004.47",0,2,1,0,17,146.230,"5,252.88",2,29,274.390,"8,257.35",0.00,0,0.000,"2,453.43",0,0,0,0,0,0.000,"3,140.17",0,0.000,"6,208.92",12,128.160,"2,453.43",0,2,1,0,14,123.050,"3,140.17",2,26,251.210,"6,208.92",Grand Total,257,"3,129.940","93,446.42",24,40,45,0,144,"1,814.691","1,04,296.17",53,401,"4,944.631","1,97,742.59",0.00,0,0.000,"81,745.72",0,0,0,0,0,0.000,"42,641.12",0,0.000,"1,35,099.91",241,"3,061.060","81,745.72",24,40,35,0,86,"1,140.995","42,858.48",46,327,"4,202.055","1,35,332.30","Page 1 of 1     Generated on : 13/03/2025 20:54 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Nagaland     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  State Roads and Bridges Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dimapur,2011 - 2012,2,39.000,"1,263.99",0,0,0,0,0,0.000,0.00,0,2,39.000,"1,263.99",0.00,0,0.000,944.66,0,0,0,0,0,0.000,0.00,0,0.000,944.66,2,39.000,944.66,0,0,0,0,0,0.000,0.00,0,2,39.000,944.66,Total,12,128.160,"3,004.47",0,2,1,0,17,146.230,"5,252.88",2,29,274.390,"8,257.35",0.00,0,0.000,"2,453.43",0,0,0,0,0,0.000,"3,140.17",0,0.000,"6,208.92",12,128.160,"2,453.43",0,2,1,0,14,123.050,"3,140.17",2,26,251.210,"6,208.92",Grand Total,257,"3,129.940","93,446.42",24,40,45,0,144,"1,814.691","1,04,296.17",53,401,"4,944.631","1,97,742.59",0.00,0,0.000,"81,745.72",0,0,0,0,0,0.000,"42,641.12",0,0.000,"1,35,099.91",241,"3,061.060","81,745.72",24,40,35,0,86,"1,140.995","42,858.48",46,327,"4,202.055","1,35,332.30","Page 1 of 1     Generated on : 13/03/2025 20:54 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Nagaland     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  State Roads and Bridges Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dimapur,2017 - 2018,1,9.000,613.70,0,0,0,0,0,0.000,0.00,0,1,9.000,613.70,0.00,0,0.000,652.55,0,0,0,0,0,0.000,0.00,0,0.000,652.55,1,9.000,652.55,0,0,0,0,0,0.000,0.00,0,1,9.000,652.55,Total,12,128.160,"3,004.47",0,2,1,0,17,146.230,"5,252.88",2,29,274.390,"8,257.35",0.00,0,0.000,"2,453.43",0,0,0,0,0,0.000,"3,140.17",0,0.000,"6,208.92",12,128.160,"2,453.43",0,2,1,0,14,123.050,"3,140.17",2,26,251.210,"6,208.92",Grand Total,257,"3,129.940","93,446.42",24,40,45,0,144,"1,814.691","1,04,296.17",53,401,"4,944.631","1,97,742.59",0.00,0,0.000,"81,745.72",0,0,0,0,0,0.000,"42,641.12",0,0.000,"1,35,099.91",241,"3,061.060","81,745.72",24,40,35,0,86,"1,140.995","42,858.48",46,327,"4,202.055","1,35,332.30","Page 1 of 1     Generated on : 13/03/2025 20:54 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Nagaland     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  State Roads and Bridges Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dimapur,2018 - 2019,0,0.000,310.95,0,0,0,0,1,7.000,791.64,2,1,7.000,"1,102.59",0.00,0,0.000,0.00,0,0,0,0,0,0.000,494.32,0,0.000,"1,109.64",0,0.000,0.00,0,0,0,0,1,7.000,494.32,2,1,7.000,"1,109.64",Total,12,128.160,"3,004.47",0,2,1,0,17,146.230,"5,252.88",2,29,274.390,"8,257.35",0.00,0,0.000,"2,453.43",0,0,0,0,0,0.000,"3,140.17",0,0.000,"6,208.92",12,128.160,"2,453.43",0,2,1,0,14,123.050,"3,140.17",2,26,251.210,"6,208.92",Grand Total,257,"3,129.940","93,446.42",24,40,45,0,144,"1,814.691","1,04,296.17",53,401,"4,944.631","1,97,742.59",0.00,0,0.000,"81,745.72",0,0,0,0,0,0.000,"42,641.12",0,0.000,"1,35,099.91",241,"3,061.060","81,745.72",24,40,35,0,86,"1,140.995","42,858.48",46,327,"4,202.055","1,35,332.30","Page 1 of 1     Generated on : 13/03/2025 20:54 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Nagaland     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  State Roads and Bridges Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dimapur,2019 - 2020,0,0.000,0.00,0,0,0,0,1,12.700,"1,114.85",0,1,12.700,"1,114.85",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,112.08",0,0.000,"1,112.08",0,0.000,0.00,0,0,0,0,1,12.700,"1,112.08",0,1,12.700,"1,112.08",Total,12,128.160,"3,004.47",0,2,1,0,17,146.230,"5,252.88",2,29,274.390,"8,257.35",0.00,0,0.000,"2,453.43",0,0,0,0,0,0.000,"3,140.17",0,0.000,"6,208.92",12,128.160,"2,453.43",0,2,1,0,14,123.050,"3,140.17",2,26,251.210,"6,208.92",Grand Total,257,"3,129.940","93,446.42",24,40,45,0,144,"1,814.691","1,04,296.17",53,401,"4,944.631","1,97,742.59",0.00,0,0.000,"81,745.72",0,0,0,0,0,0.000,"42,641.12",0,0.000,"1,35,099.91",241,"3,061.060","81,745.72",24,40,35,0,86,"1,140.995","42,858.48",46,327,"4,202.055","1,35,332.30","Page 1 of 1     Generated on : 13/03/2025 20:54 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Nagaland     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  State Roads and Bridges Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dimapur,2023 - 2024,0,0.000,0.00,0,0,0,0,3,23.180,"1,825.12",0,3,23.180,"1,825.12",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,12,128.160,"3,004.47",0,2,1,0,17,146.230,"5,252.88",2,29,274.390,"8,257.35",0.00,0,0.000,"2,453.43",0,0,0,0,0,0.000,"3,140.17",0,0.000,"6,208.92",12,128.160,"2,453.43",0,2,1,0,14,123.050,"3,140.17",2,26,251.210,"6,208.92",Grand Total,257,"3,129.940","93,446.42",24,40,45,0,144,"1,814.691","1,04,296.17",53,401,"4,944.631","1,97,742.59",0.00,0,0.000,"81,745.72",0,0,0,0,0,0.000,"42,641.12",0,0.000,"1,35,099.91",241,"3,061.060","81,745.72",24,40,35,0,86,"1,140.995","42,858.48",46,327,"4,202.055","1,35,332.30","Page 1 of 1     Generated on : 13/03/2025 20:54 PM     2014 NRRDA, All rights reserved"
