Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Sikkim     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Rural Development Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,East,2000 - 2001,0,0.000,0.00,0,0,0,0,70,194.230,317.84,0,70,194.230,317.84,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,70,194.230,0.00,0,70,194.230,0.00,Total,102,476.869,"34,611.31",5,25,27,0,79,257.080,"5,423.42",24,181,733.949,"40,034.73",0.00,1,10.010,"8,853.41",0,1,1,0,0,0.000,602.98,1,10.010,"9,456.39",34,161.460,"8,853.41",5,21,12,0,73,228.230,602.98,0,107,389.690,"9,456.39",Grand Total,687,"3,418.510","2,42,251.28",14,133,203,0,356,"1,801.612","53,285.46",126,"1,043","5,220.122","2,95,536.74",0.00,2,17.090,"60,465.15",0,1,1,0,0,0.000,"4,388.68",2,17.090,"64,860.19",223,994.990,"60,549.63",14,108,70,0,270,"1,358.000","4,388.68",0,493,"2,352.990","64,976.66","Page 1 of 1     Generated on : 13/03/2025 22:35 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Sikkim     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Rural Development Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,East,2001 - 2002,2,3.800,123.79,0,3,2,0,3,34.000,607.77,0,5,37.800,731.56,0.00,0,0.000,122.47,0,0,0,0,0,0.000,602.98,0,0.000,725.45,2,3.800,122.47,0,3,2,0,3,34.000,602.98,0,5,37.800,725.45,Total,102,476.869,"34,611.31",5,25,27,0,79,257.080,"5,423.42",24,181,733.949,"40,034.73",0.00,1,10.010,"8,853.41",0,1,1,0,0,0.000,602.98,1,10.010,"9,456.39",34,161.460,"8,853.41",5,21,12,0,73,228.230,602.98,0,107,389.690,"9,456.39",Grand Total,687,"3,418.510","2,42,251.28",14,133,203,0,356,"1,801.612","53,285.46",126,"1,043","5,220.122","2,95,536.74",0.00,2,17.090,"60,465.15",0,1,1,0,0,0.000,"4,388.68",2,17.090,"64,860.19",223,994.990,"60,549.63",14,108,70,0,270,"1,358.000","4,388.68",0,493,"2,352.990","64,976.66","Page 1 of 1     Generated on : 13/03/2025 22:35 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Sikkim     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Rural Development Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,East,2004 - 2005,9,37.010,"1,665.85",5,5,0,0,0,0.000,0.00,0,9,37.010,"1,665.85",0.00,0,0.000,"1,464.93",0,0,0,0,0,0.000,0.00,0,0.000,"1,464.93",8,33.340,"1,464.93",5,4,0,0,0,0.000,0.00,0,8,33.340,"1,464.93",Total,102,476.869,"34,611.31",5,25,27,0,79,257.080,"5,423.42",24,181,733.949,"40,034.73",0.00,1,10.010,"8,853.41",0,1,1,0,0,0.000,602.98,1,10.010,"9,456.39",34,161.460,"8,853.41",5,21,12,0,73,228.230,602.98,0,107,389.690,"9,456.39",Grand Total,687,"3,418.510","2,42,251.28",14,133,203,0,356,"1,801.612","53,285.46",126,"1,043","5,220.122","2,95,536.74",0.00,2,17.090,"60,465.15",0,1,1,0,0,0.000,"4,388.68",2,17.090,"64,860.19",223,994.990,"60,549.63",14,108,70,0,270,"1,358.000","4,388.68",0,493,"2,352.990","64,976.66","Page 1 of 1     Generated on : 13/03/2025 22:35 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Sikkim     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Rural Development Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,East,2005 - 2006,11,54.810,"2,579.82",0,9,5,0,0,0.000,0.00,0,11,54.810,"2,579.82",0.00,0,0.000,"2,328.77",0,0,0,0,0,0.000,0.00,0,0.000,"2,328.77",9,46.670,"2,328.77",0,9,5,0,0,0.000,0.00,0,9,46.670,"2,328.77",Total,102,476.869,"34,611.31",5,25,27,0,79,257.080,"5,423.42",24,181,733.949,"40,034.73",0.00,1,10.010,"8,853.41",0,1,1,0,0,0.000,602.98,1,10.010,"9,456.39",34,161.460,"8,853.41",5,21,12,0,73,228.230,602.98,0,107,389.690,"9,456.39",Grand Total,687,"3,418.510","2,42,251.28",14,133,203,0,356,"1,801.612","53,285.46",126,"1,043","5,220.122","2,95,536.74",0.00,2,17.090,"60,465.15",0,1,1,0,0,0.000,"4,388.68",2,17.090,"64,860.19",223,994.990,"60,549.63",14,108,70,0,270,"1,358.000","4,388.68",0,493,"2,352.990","64,976.66","Page 1 of 1     Generated on : 13/03/2025 22:35 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Sikkim     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Rural Development Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,East,2007 - 2008,9,39.970,"1,891.67",0,7,1,0,0,0.000,0.00,0,9,39.970,"1,891.67",0.00,0,0.000,"1,440.10",0,0,0,0,0,0.000,0.00,0,0.000,"1,440.10",6,25.900,"1,440.10",0,4,1,0,0,0.000,0.00,0,6,25.900,"1,440.10",Total,102,476.869,"34,611.31",5,25,27,0,79,257.080,"5,423.42",24,181,733.949,"40,034.73",0.00,1,10.010,"8,853.41",0,1,1,0,0,0.000,602.98,1,10.010,"9,456.39",34,161.460,"8,853.41",5,21,12,0,73,228.230,602.98,0,107,389.690,"9,456.39",Grand Total,687,"3,418.510","2,42,251.28",14,133,203,0,356,"1,801.612","53,285.46",126,"1,043","5,220.122","2,95,536.74",0.00,2,17.090,"60,465.15",0,1,1,0,0,0.000,"4,388.68",2,17.090,"64,860.19",223,994.990,"60,549.63",14,108,70,0,270,"1,358.000","4,388.68",0,493,"2,352.990","64,976.66","Page 1 of 1     Generated on : 13/03/2025 22:35 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Sikkim     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Rural Development Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,East,2008 - 2009,14,78.320,"3,915.14",0,1,7,0,0,0.000,0.00,0,14,78.320,"3,915.14",0.00,1,10.010,"2,929.47",0,1,1,0,0,0.000,0.00,1,10.010,"2,929.47",7,48.440,"2,929.47",0,1,4,0,0,0.000,0.00,0,7,48.440,"2,929.47",Total,102,476.869,"34,611.31",5,25,27,0,79,257.080,"5,423.42",24,181,733.949,"40,034.73",0.00,1,10.010,"8,853.41",0,1,1,0,0,0.000,602.98,1,10.010,"9,456.39",34,161.460,"8,853.41",5,21,12,0,73,228.230,602.98,0,107,389.690,"9,456.39",Grand Total,687,"3,418.510","2,42,251.28",14,133,203,0,356,"1,801.612","53,285.46",126,"1,043","5,220.122","2,95,536.74",0.00,2,17.090,"60,465.15",0,1,1,0,0,0.000,"4,388.68",2,17.090,"64,860.19",223,994.990,"60,549.63",14,108,70,0,270,"1,358.000","4,388.68",0,493,"2,352.990","64,976.66","Page 1 of 1     Generated on : 13/03/2025 22:35 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Sikkim     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Rural Development Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,East,2011 - 2012,11,46.270,"2,819.86",0,0,0,0,0,0.000,0.00,2,11,46.270,"2,819.86",0.00,0,0.000,550.43,0,0,0,0,0,0.000,0.00,0,0.000,550.43,2,3.310,550.43,0,0,0,0,0,0.000,0.00,0,2,3.310,550.43,Total,102,476.869,"34,611.31",5,25,27,0,79,257.080,"5,423.42",24,181,733.949,"40,034.73",0.00,1,10.010,"8,853.41",0,1,1,0,0,0.000,602.98,1,10.010,"9,456.39",34,161.460,"8,853.41",5,21,12,0,73,228.230,602.98,0,107,389.690,"9,456.39",Grand Total,687,"3,418.510","2,42,251.28",14,133,203,0,356,"1,801.612","53,285.46",126,"1,043","5,220.122","2,95,536.74",0.00,2,17.090,"60,465.15",0,1,1,0,0,0.000,"4,388.68",2,17.090,"64,860.19",223,994.990,"60,549.63",14,108,70,0,270,"1,358.000","4,388.68",0,493,"2,352.990","64,976.66","Page 1 of 1     Generated on : 13/03/2025 22:35 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Sikkim     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Rural Development Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,East,2013 - 2014,10,49.205,"3,169.63",0,0,0,0,0,0.000,0.00,0,10,49.205,"3,169.63",0.00,0,0.000,17.24,0,0,0,0,0,0.000,0.00,0,0.000,17.24,0,0.000,17.24,0,0,0,0,0,0.000,0.00,0,0,0.000,17.24,Total,102,476.869,"34,611.31",5,25,27,0,79,257.080,"5,423.42",24,181,733.949,"40,034.73",0.00,1,10.010,"8,853.41",0,1,1,0,0,0.000,602.98,1,10.010,"9,456.39",34,161.460,"8,853.41",5,21,12,0,73,228.230,602.98,0,107,389.690,"9,456.39",Grand Total,687,"3,418.510","2,42,251.28",14,133,203,0,356,"1,801.612","53,285.46",126,"1,043","5,220.122","2,95,536.74",0.00,2,17.090,"60,465.15",0,1,1,0,0,0.000,"4,388.68",2,17.090,"64,860.19",223,994.990,"60,549.63",14,108,70,0,270,"1,358.000","4,388.68",0,493,"2,352.990","64,976.66","Page 1 of 1     Generated on : 13/03/2025 22:35 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Sikkim     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Rural Development Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,East,2014 - 2015,4,31.030,"2,643.77",0,0,0,0,0,0.000,0.00,2,4,31.030,"2,643.77",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,102,476.869,"34,611.31",5,25,27,0,79,257.080,"5,423.42",24,181,733.949,"40,034.73",0.00,1,10.010,"8,853.41",0,1,1,0,0,0.000,602.98,1,10.010,"9,456.39",34,161.460,"8,853.41",5,21,12,0,73,228.230,602.98,0,107,389.690,"9,456.39",Grand Total,687,"3,418.510","2,42,251.28",14,133,203,0,356,"1,801.612","53,285.46",126,"1,043","5,220.122","2,95,536.74",0.00,2,17.090,"60,465.15",0,1,1,0,0,0.000,"4,388.68",2,17.090,"64,860.19",223,994.990,"60,549.63",14,108,70,0,270,"1,358.000","4,388.68",0,493,"2,352.990","64,976.66","Page 1 of 1     Generated on : 13/03/2025 22:35 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Sikkim     District: All Districts     Block: All Blocks     Year: 2014     Month: January     Collaboration: All Collaborations     Agency:  Rural Development Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,East,2016 - 2017,14,59.760,"4,515.48",0,0,8,0,0,0.000,0.00,0,14,59.760,"4,515.48",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,102,476.869,"34,611.31",5,25,27,0,79,257.080,"5,423.42",24,181,733.949,"40,034.73",0.00,1,10.010,"8,853.41",0,1,1,0,0,0.000,602.98,1,10.010,"9,456.39",34,161.460,"8,853.41",5,21,12,0,73,228.230,602.98,0,107,389.690,"9,456.39",Grand Total,687,"3,418.510","2,42,251.28",14,133,203,0,356,"1,801.612","53,285.46",126,"1,043","5,220.122","2,95,536.74",0.00,2,17.090,"60,465.15",0,1,1,0,0,0.000,"4,388.68",2,17.090,"64,860.19",223,994.990,"60,549.63",14,108,70,0,270,"1,358.000","4,388.68",0,493,"2,352.990","64,976.66","Page 1 of 1     Generated on : 13/03/2025 22:35 PM     2014 NRRDA, All rights reserved"
