Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Telangana     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Telangana Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Adilabad,2000 - 2001,1,3.100,20.02,1,2,0,0,8,16.600,130.61,0,9,19.700,150.63,0.00,0,0.000,20.60,0,0,0,0,0,0.000,128.73,0,0.000,149.33,1,3.000,20.60,1,2,0,0,8,16.700,128.73,0,9,19.700,149.33,Total,175,563.427,"16,681.29",11,40,101,0,35,214.455,"15,215.46",37,210,777.882,"31,896.76",0.00,0,0.000,"9,380.90",0,0,0,0,0,0.000,"7,305.94",0,0.000,"20,808.17",154,450.312,"9,380.90",11,40,101,0,32,188.741,"7,305.94",30,186,639.053,"20,808.17",Grand Total,884,"3,079.107","1,03,204.08",142,249,204,109,"2,540","10,546.943","4,15,294.91",439,"3,424","13,626.050","5,18,498.99",0.00,0,0.000,"78,577.54",0,0,0,0,12,194.853,"2,59,185.50",12,194.853,"3,84,699.88",829,"2,777.012","78,577.54",142,249,204,107,"2,296","9,337.385","2,59,185.50",301,"3,125","12,114.397","3,84,714.82","Page 1 of 1     Generated on : 13/03/2025 23:44 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Telangana     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Telangana Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Adilabad,2001 - 2002,24,91.270,"1,179.54",8,21,8,0,0,0.000,0.00,0,24,91.270,"1,179.54",0.00,0,0.000,"1,157.43",0,0,0,0,0,0.000,0.00,0,0.000,"1,157.43",24,77.050,"1,157.43",8,21,8,0,0,0.000,0.00,0,24,77.050,"1,157.43",Total,175,563.427,"16,681.29",11,40,101,0,35,214.455,"15,215.46",37,210,777.882,"31,896.76",0.00,0,0.000,"9,380.90",0,0,0,0,0,0.000,"7,305.94",0,0.000,"20,808.17",154,450.312,"9,380.90",11,40,101,0,32,188.741,"7,305.94",30,186,639.053,"20,808.17",Grand Total,884,"3,079.107","1,03,204.08",142,249,204,109,"2,540","10,546.943","4,15,294.91",439,"3,424","13,626.050","5,18,498.99",0.00,0,0.000,"78,577.54",0,0,0,0,12,194.853,"2,59,185.50",12,194.853,"3,84,699.88",829,"2,777.012","78,577.54",142,249,204,107,"2,296","9,337.385","2,59,185.50",301,"3,125","12,114.397","3,84,714.82","Page 1 of 1     Generated on : 13/03/2025 23:44 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Telangana     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Telangana Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Adilabad,2003 - 2004,76,275.310,"3,537.83",2,17,84,0,0,0.000,0.00,0,76,275.310,"3,537.83",0.00,0,0.000,"3,125.41",0,0,0,0,0,0.000,0.00,0,0.000,"3,125.41",76,256.140,"3,125.41",2,17,84,0,0,0.000,0.00,0,76,256.140,"3,125.41",Total,175,563.427,"16,681.29",11,40,101,0,35,214.455,"15,215.46",37,210,777.882,"31,896.76",0.00,0,0.000,"9,380.90",0,0,0,0,0,0.000,"7,305.94",0,0.000,"20,808.17",154,450.312,"9,380.90",11,40,101,0,32,188.741,"7,305.94",30,186,639.053,"20,808.17",Grand Total,884,"3,079.107","1,03,204.08",142,249,204,109,"2,540","10,546.943","4,15,294.91",439,"3,424","13,626.050","5,18,498.99",0.00,0,0.000,"78,577.54",0,0,0,0,12,194.853,"2,59,185.50",12,194.853,"3,84,699.88",829,"2,777.012","78,577.54",142,249,204,107,"2,296","9,337.385","2,59,185.50",301,"3,125","12,114.397","3,84,714.82","Page 1 of 1     Generated on : 13/03/2025 23:44 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Telangana     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Telangana Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Adilabad,2005 - 2006,0,0.000,0.00,0,0,0,0,5,20.500,230.60,0,5,20.500,230.60,0.00,0,0.000,0.00,0,0,0,0,0,0.000,263.15,0,0.000,263.15,0,0.000,0.00,0,0,0,0,5,13.700,263.15,0,5,13.700,263.15,Total,175,563.427,"16,681.29",11,40,101,0,35,214.455,"15,215.46",37,210,777.882,"31,896.76",0.00,0,0.000,"9,380.90",0,0,0,0,0,0.000,"7,305.94",0,0.000,"20,808.17",154,450.312,"9,380.90",11,40,101,0,32,188.741,"7,305.94",30,186,639.053,"20,808.17",Grand Total,884,"3,079.107","1,03,204.08",142,249,204,109,"2,540","10,546.943","4,15,294.91",439,"3,424","13,626.050","5,18,498.99",0.00,0,0.000,"78,577.54",0,0,0,0,12,194.853,"2,59,185.50",12,194.853,"3,84,699.88",829,"2,777.012","78,577.54",142,249,204,107,"2,296","9,337.385","2,59,185.50",301,"3,125","12,114.397","3,84,714.82","Page 1 of 1     Generated on : 13/03/2025 23:44 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Telangana     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Telangana Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Adilabad,2006 - 2007,0,0.000,0.00,0,0,0,0,2,10.020,235.46,0,2,10.020,235.46,0.00,0,0.000,0.00,0,0,0,0,0,0.000,263.72,0,0.000,263.72,0,0.000,0.00,0,0,0,0,2,9.890,263.72,0,2,9.890,263.72,Total,175,563.427,"16,681.29",11,40,101,0,35,214.455,"15,215.46",37,210,777.882,"31,896.76",0.00,0,0.000,"9,380.90",0,0,0,0,0,0.000,"7,305.94",0,0.000,"20,808.17",154,450.312,"9,380.90",11,40,101,0,32,188.741,"7,305.94",30,186,639.053,"20,808.17",Grand Total,884,"3,079.107","1,03,204.08",142,249,204,109,"2,540","10,546.943","4,15,294.91",439,"3,424","13,626.050","5,18,498.99",0.00,0,0.000,"78,577.54",0,0,0,0,12,194.853,"2,59,185.50",12,194.853,"3,84,699.88",829,"2,777.012","78,577.54",142,249,204,107,"2,296","9,337.385","2,59,185.50",301,"3,125","12,114.397","3,84,714.82","Page 1 of 1     Generated on : 13/03/2025 23:44 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Telangana     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Telangana Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Adilabad,2007 - 2008,0,0.000,0.00,0,0,0,0,3,30.830,746.68,0,3,30.830,746.68,0.00,0,0.000,0.00,0,0,0,0,0,0.000,743.74,0,0.000,743.74,0,0.000,0.00,0,0,0,0,3,30.830,743.74,0,3,30.830,743.74,Total,175,563.427,"16,681.29",11,40,101,0,35,214.455,"15,215.46",37,210,777.882,"31,896.76",0.00,0,0.000,"9,380.90",0,0,0,0,0,0.000,"7,305.94",0,0.000,"20,808.17",154,450.312,"9,380.90",11,40,101,0,32,188.741,"7,305.94",30,186,639.053,"20,808.17",Grand Total,884,"3,079.107","1,03,204.08",142,249,204,109,"2,540","10,546.943","4,15,294.91",439,"3,424","13,626.050","5,18,498.99",0.00,0,0.000,"78,577.54",0,0,0,0,12,194.853,"2,59,185.50",12,194.853,"3,84,699.88",829,"2,777.012","78,577.54",142,249,204,107,"2,296","9,337.385","2,59,185.50",301,"3,125","12,114.397","3,84,714.82","Page 1 of 1     Generated on : 13/03/2025 23:44 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Telangana     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Telangana Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Adilabad,2008 - 2009,0,0.000,0.00,0,0,0,0,8,56.970,"2,923.89",0,8,56.970,"2,923.89",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"2,493.82",0,0.000,"2,493.82",0,0.000,0.00,0,0,0,0,8,56.960,"2,493.82",0,8,56.960,"2,493.82",Total,175,563.427,"16,681.29",11,40,101,0,35,214.455,"15,215.46",37,210,777.882,"31,896.76",0.00,0,0.000,"9,380.90",0,0,0,0,0,0.000,"7,305.94",0,0.000,"20,808.17",154,450.312,"9,380.90",11,40,101,0,32,188.741,"7,305.94",30,186,639.053,"20,808.17",Grand Total,884,"3,079.107","1,03,204.08",142,249,204,109,"2,540","10,546.943","4,15,294.91",439,"3,424","13,626.050","5,18,498.99",0.00,0,0.000,"78,577.54",0,0,0,0,12,194.853,"2,59,185.50",12,194.853,"3,84,699.88",829,"2,777.012","78,577.54",142,249,204,107,"2,296","9,337.385","2,59,185.50",301,"3,125","12,114.397","3,84,714.82","Page 1 of 1     Generated on : 13/03/2025 23:44 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Telangana     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Telangana Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Adilabad,2010 - 2011,0,0.000,0.00,0,0,0,0,0,0.000,"1,486.62",15,0,0.000,"1,486.62",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,"1,459.56",0,0.000,0.00,0,0,0,0,0,0.000,0.00,15,0,0.000,"1,459.56",Total,175,563.427,"16,681.29",11,40,101,0,35,214.455,"15,215.46",37,210,777.882,"31,896.76",0.00,0,0.000,"9,380.90",0,0,0,0,0,0.000,"7,305.94",0,0.000,"20,808.17",154,450.312,"9,380.90",11,40,101,0,32,188.741,"7,305.94",30,186,639.053,"20,808.17",Grand Total,884,"3,079.107","1,03,204.08",142,249,204,109,"2,540","10,546.943","4,15,294.91",439,"3,424","13,626.050","5,18,498.99",0.00,0,0.000,"78,577.54",0,0,0,0,12,194.853,"2,59,185.50",12,194.853,"3,84,699.88",829,"2,777.012","78,577.54",142,249,204,107,"2,296","9,337.385","2,59,185.50",301,"3,125","12,114.397","3,84,714.82","Page 1 of 1     Generated on : 13/03/2025 23:44 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Telangana     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Telangana Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Adilabad,2012 - 2013,9,13.705,"1,198.99",0,0,9,0,0,0.000,0.00,3,9,13.705,"1,198.99",0.00,0,0.000,647.55,0,0,0,0,0,0.000,0.00,0,0.000,973.14,9,12.995,647.55,0,0,9,0,0,0.000,0.00,3,9,12.995,973.14,Total,175,563.427,"16,681.29",11,40,101,0,35,214.455,"15,215.46",37,210,777.882,"31,896.76",0.00,0,0.000,"9,380.90",0,0,0,0,0,0.000,"7,305.94",0,0.000,"20,808.17",154,450.312,"9,380.90",11,40,101,0,32,188.741,"7,305.94",30,186,639.053,"20,808.17",Grand Total,884,"3,079.107","1,03,204.08",142,249,204,109,"2,540","10,546.943","4,15,294.91",439,"3,424","13,626.050","5,18,498.99",0.00,0,0.000,"78,577.54",0,0,0,0,12,194.853,"2,59,185.50",12,194.853,"3,84,699.88",829,"2,777.012","78,577.54",142,249,204,107,"2,296","9,337.385","2,59,185.50",301,"3,125","12,114.397","3,84,714.82","Page 1 of 1     Generated on : 13/03/2025 23:44 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Telangana     District: All Districts     Block: All Blocks     Year: 2024     Month: January     Collaboration: All Collaborations     Agency:  Telangana Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Adilabad,2013 - 2014,0,0.000,0.00,0,0,0,0,2,18.990,"1,920.77",2,2,18.990,"1,920.77",0.00,0,0.000,0.00,0,0,0,0,0,0.000,"1,224.72",0,0.000,"1,751.66",0,0.000,0.00,0,0,0,0,2,16.041,"1,224.72",2,2,16.041,"1,751.66",Total,175,563.427,"16,681.29",11,40,101,0,35,214.455,"15,215.46",37,210,777.882,"31,896.76",0.00,0,0.000,"9,380.90",0,0,0,0,0,0.000,"7,305.94",0,0.000,"20,808.17",154,450.312,"9,380.90",11,40,101,0,32,188.741,"7,305.94",30,186,639.053,"20,808.17",Grand Total,884,"3,079.107","1,03,204.08",142,249,204,109,"2,540","10,546.943","4,15,294.91",439,"3,424","13,626.050","5,18,498.99",0.00,0,0.000,"78,577.54",0,0,0,0,12,194.853,"2,59,185.50",12,194.853,"3,84,699.88",829,"2,777.012","78,577.54",142,249,204,107,"2,296","9,337.385","2,59,185.50",301,"3,125","12,114.397","3,84,714.82","Page 1 of 1     Generated on : 13/03/2025 23:44 PM     2014 NRRDA, All rights reserved"
