Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttarakhand     District: All Districts     Block: All Blocks     Year: 2022     Month: January     Collaboration: All Collaborations     Agency:  Uttarakhand Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Almora,2000 - 2001,0,0.000,0.00,0,0,0,0,4,22.750,480.23,0,4,22.750,480.23,0.00,0,0.000,0.00,0,0,0,0,0,0.000,440.28,0,0.000,440.28,0,0.000,0.00,0,0,0,0,4,22.750,440.28,0,4,22.750,440.28,Total,302,"2,749.665","1,35,876.54",12,78,182,0,34,369.597,"23,751.63",33,336,"3,119.262","1,59,628.17",0.00,0,31.100,"93,354.86",0,3,0,0,0,1.800,"4,660.47",0,32.900,"1,01,538.45",197,"2,366.922","93,902.20",12,77,169,0,6,114.795,"4,782.35",10,203,"2,481.717","1,02,292.22",Grand Total,"2,178","18,552.666","9,64,282.19",130,586,"1,148",0,447,"4,043.404","2,66,086.66",367,"2,625","22,596.070","12,30,368.85",0.00,12,199.074,"6,48,845.79",0,3,10,0,5,19.515,"65,256.50",17,218.589,"7,37,513.04","1,506","15,915.478","6,55,856.67",128,572,"1,065",0,170,"1,587.756","66,136.20",103,"1,676","17,503.234","7,45,881.08","Page 1 of 1     Generated on : 14/03/2025 02:41 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttarakhand     District: All Districts     Block: All Blocks     Year: 2022     Month: January     Collaboration: All Collaborations     Agency:  Uttarakhand Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Almora,2001 - 2002,8,31.001,"1,030.00",4,1,1,0,0,0.000,0.00,0,8,31.001,"1,030.00",0.00,0,0.000,"1,125.65",0,0,0,0,0,0.000,0.00,0,0.000,"1,125.65",8,31.000,"1,125.65",4,1,1,0,0,0.000,0.00,0,8,31.000,"1,125.65",Total,302,"2,749.665","1,35,876.54",12,78,182,0,34,369.597,"23,751.63",33,336,"3,119.262","1,59,628.17",0.00,0,31.100,"93,354.86",0,3,0,0,0,1.800,"4,660.47",0,32.900,"1,01,538.45",197,"2,366.922","93,902.20",12,77,169,0,6,114.795,"4,782.35",10,203,"2,481.717","1,02,292.22",Grand Total,"2,178","18,552.666","9,64,282.19",130,586,"1,148",0,447,"4,043.404","2,66,086.66",367,"2,625","22,596.070","12,30,368.85",0.00,12,199.074,"6,48,845.79",0,3,10,0,5,19.515,"65,256.50",17,218.589,"7,37,513.04","1,506","15,915.478","6,55,856.67",128,572,"1,065",0,170,"1,587.756","66,136.20",103,"1,676","17,503.234","7,45,881.08","Page 1 of 1     Generated on : 14/03/2025 02:41 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttarakhand     District: All Districts     Block: All Blocks     Year: 2022     Month: January     Collaboration: All Collaborations     Agency:  Uttarakhand Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Almora,2003 - 2004,4,44.360,595.09,3,0,4,0,0,0.000,0.00,0,4,44.360,595.09,0.00,0,0.000,846.61,0,0,0,0,0,0.000,0.00,0,0.000,846.61,4,44.360,846.61,3,0,4,0,0,0.000,0.00,0,4,44.360,846.61,Total,302,"2,749.665","1,35,876.54",12,78,182,0,34,369.597,"23,751.63",33,336,"3,119.262","1,59,628.17",0.00,0,31.100,"93,354.86",0,3,0,0,0,1.800,"4,660.47",0,32.900,"1,01,538.45",197,"2,366.922","93,902.20",12,77,169,0,6,114.795,"4,782.35",10,203,"2,481.717","1,02,292.22",Grand Total,"2,178","18,552.666","9,64,282.19",130,586,"1,148",0,447,"4,043.404","2,66,086.66",367,"2,625","22,596.070","12,30,368.85",0.00,12,199.074,"6,48,845.79",0,3,10,0,5,19.515,"65,256.50",17,218.589,"7,37,513.04","1,506","15,915.478","6,55,856.67",128,572,"1,065",0,170,"1,587.756","66,136.20",103,"1,676","17,503.234","7,45,881.08","Page 1 of 1     Generated on : 14/03/2025 02:41 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttarakhand     District: All Districts     Block: All Blocks     Year: 2022     Month: January     Collaboration: All Collaborations     Agency:  Uttarakhand Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Almora,2004 - 2005,5,47.630,890.58,2,4,3,0,0,0.000,0.00,0,5,47.630,890.58,0.00,0,0.000,909.37,0,0,0,0,0,0.000,0.00,0,0.000,909.37,5,47.630,909.37,2,4,3,0,0,0.000,0.00,0,5,47.630,909.37,Total,302,"2,749.665","1,35,876.54",12,78,182,0,34,369.597,"23,751.63",33,336,"3,119.262","1,59,628.17",0.00,0,31.100,"93,354.86",0,3,0,0,0,1.800,"4,660.47",0,32.900,"1,01,538.45",197,"2,366.922","93,902.20",12,77,169,0,6,114.795,"4,782.35",10,203,"2,481.717","1,02,292.22",Grand Total,"2,178","18,552.666","9,64,282.19",130,586,"1,148",0,447,"4,043.404","2,66,086.66",367,"2,625","22,596.070","12,30,368.85",0.00,12,199.074,"6,48,845.79",0,3,10,0,5,19.515,"65,256.50",17,218.589,"7,37,513.04","1,506","15,915.478","6,55,856.67",128,572,"1,065",0,170,"1,587.756","66,136.20",103,"1,676","17,503.234","7,45,881.08","Page 1 of 1     Generated on : 14/03/2025 02:41 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttarakhand     District: All Districts     Block: All Blocks     Year: 2022     Month: January     Collaboration: All Collaborations     Agency:  Uttarakhand Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Almora,2005 - 2006,7,104.530,"2,290.69",3,8,7,0,0,0.000,0.00,0,7,104.530,"2,290.69",0.00,0,0.000,"2,716.13",0,0,0,0,0,0.000,0.00,0,0.000,"2,716.13",7,104.530,"2,716.13",3,8,7,0,0,0.000,0.00,0,7,104.530,"2,716.13",Total,302,"2,749.665","1,35,876.54",12,78,182,0,34,369.597,"23,751.63",33,336,"3,119.262","1,59,628.17",0.00,0,31.100,"93,354.86",0,3,0,0,0,1.800,"4,660.47",0,32.900,"1,01,538.45",197,"2,366.922","93,902.20",12,77,169,0,6,114.795,"4,782.35",10,203,"2,481.717","1,02,292.22",Grand Total,"2,178","18,552.666","9,64,282.19",130,586,"1,148",0,447,"4,043.404","2,66,086.66",367,"2,625","22,596.070","12,30,368.85",0.00,12,199.074,"6,48,845.79",0,3,10,0,5,19.515,"65,256.50",17,218.589,"7,37,513.04","1,506","15,915.478","6,55,856.67",128,572,"1,065",0,170,"1,587.756","66,136.20",103,"1,676","17,503.234","7,45,881.08","Page 1 of 1     Generated on : 14/03/2025 02:41 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttarakhand     District: All Districts     Block: All Blocks     Year: 2022     Month: January     Collaboration: All Collaborations     Agency:  Uttarakhand Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Almora,2007 - 2008,7,51.056,"1,889.26",0,9,1,0,0,0.000,0.00,0,7,51.056,"1,889.26",0.00,0,0.000,"1,786.06",0,0,0,0,0,0.000,0.00,0,0.000,"1,786.06",7,51.050,"1,786.06",0,9,1,0,0,0.000,0.00,0,7,51.050,"1,786.06",Total,302,"2,749.665","1,35,876.54",12,78,182,0,34,369.597,"23,751.63",33,336,"3,119.262","1,59,628.17",0.00,0,31.100,"93,354.86",0,3,0,0,0,1.800,"4,660.47",0,32.900,"1,01,538.45",197,"2,366.922","93,902.20",12,77,169,0,6,114.795,"4,782.35",10,203,"2,481.717","1,02,292.22",Grand Total,"2,178","18,552.666","9,64,282.19",130,586,"1,148",0,447,"4,043.404","2,66,086.66",367,"2,625","22,596.070","12,30,368.85",0.00,12,199.074,"6,48,845.79",0,3,10,0,5,19.515,"65,256.50",17,218.589,"7,37,513.04","1,506","15,915.478","6,55,856.67",128,572,"1,065",0,170,"1,587.756","66,136.20",103,"1,676","17,503.234","7,45,881.08","Page 1 of 1     Generated on : 14/03/2025 02:41 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttarakhand     District: All Districts     Block: All Blocks     Year: 2022     Month: January     Collaboration: All Collaborations     Agency:  Uttarakhand Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Almora,2009 - 2010,8,103.720,"3,594.68",0,10,14,0,0,0.000,0.00,0,8,103.720,"3,594.68",0.00,0,0.000,"3,147.91",0,0,0,0,0,0.000,0.00,0,0.000,"3,147.91",8,104.984,"3,147.91",0,10,14,0,0,0.000,0.00,0,8,104.984,"3,147.91",Total,302,"2,749.665","1,35,876.54",12,78,182,0,34,369.597,"23,751.63",33,336,"3,119.262","1,59,628.17",0.00,0,31.100,"93,354.86",0,3,0,0,0,1.800,"4,660.47",0,32.900,"1,01,538.45",197,"2,366.922","93,902.20",12,77,169,0,6,114.795,"4,782.35",10,203,"2,481.717","1,02,292.22",Grand Total,"2,178","18,552.666","9,64,282.19",130,586,"1,148",0,447,"4,043.404","2,66,086.66",367,"2,625","22,596.070","12,30,368.85",0.00,12,199.074,"6,48,845.79",0,3,10,0,5,19.515,"65,256.50",17,218.589,"7,37,513.04","1,506","15,915.478","6,55,856.67",128,572,"1,065",0,170,"1,587.756","66,136.20",103,"1,676","17,503.234","7,45,881.08","Page 1 of 1     Generated on : 14/03/2025 02:41 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttarakhand     District: All Districts     Block: All Blocks     Year: 2022     Month: January     Collaboration: All Collaborations     Agency:  Uttarakhand Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Almora,2010 - 2011,20,216.450,"6,235.61",0,14,18,0,0,0.000,0.00,0,20,216.450,"6,235.61",0.00,0,0.000,"5,466.95",0,0,0,0,0,0.000,0.00,0,0.000,"5,466.95",20,213.960,"5,466.95",0,14,18,0,0,0.000,0.00,0,20,213.960,"5,466.95",Total,302,"2,749.665","1,35,876.54",12,78,182,0,34,369.597,"23,751.63",33,336,"3,119.262","1,59,628.17",0.00,0,31.100,"93,354.86",0,3,0,0,0,1.800,"4,660.47",0,32.900,"1,01,538.45",197,"2,366.922","93,902.20",12,77,169,0,6,114.795,"4,782.35",10,203,"2,481.717","1,02,292.22",Grand Total,"2,178","18,552.666","9,64,282.19",130,586,"1,148",0,447,"4,043.404","2,66,086.66",367,"2,625","22,596.070","12,30,368.85",0.00,12,199.074,"6,48,845.79",0,3,10,0,5,19.515,"65,256.50",17,218.589,"7,37,513.04","1,506","15,915.478","6,55,856.67",128,572,"1,065",0,170,"1,587.756","66,136.20",103,"1,676","17,503.234","7,45,881.08","Page 1 of 1     Generated on : 14/03/2025 02:41 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttarakhand     District: All Districts     Block: All Blocks     Year: 2022     Month: January     Collaboration: All Collaborations     Agency:  Uttarakhand Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Almora,2011 - 2012,1,2.250,175.38,0,1,0,0,0,0.000,0.00,0,1,2.250,175.38,0.00,0,0.000,160.58,0,0,0,0,0,0.000,0.00,0,0.000,160.58,1,2.250,160.58,0,1,0,0,0,0.000,0.00,0,1,2.250,160.58,Total,302,"2,749.665","1,35,876.54",12,78,182,0,34,369.597,"23,751.63",33,336,"3,119.262","1,59,628.17",0.00,0,31.100,"93,354.86",0,3,0,0,0,1.800,"4,660.47",0,32.900,"1,01,538.45",197,"2,366.922","93,902.20",12,77,169,0,6,114.795,"4,782.35",10,203,"2,481.717","1,02,292.22",Grand Total,"2,178","18,552.666","9,64,282.19",130,586,"1,148",0,447,"4,043.404","2,66,086.66",367,"2,625","22,596.070","12,30,368.85",0.00,12,199.074,"6,48,845.79",0,3,10,0,5,19.515,"65,256.50",17,218.589,"7,37,513.04","1,506","15,915.478","6,55,856.67",128,572,"1,065",0,170,"1,587.756","66,136.20",103,"1,676","17,503.234","7,45,881.08","Page 1 of 1     Generated on : 14/03/2025 02:41 AM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Uttarakhand     District: All Districts     Block: All Blocks     Year: 2022     Month: January     Collaboration: All Collaborations     Agency:  Uttarakhand Rural Road Development Agency  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Almora,2012 - 2013,6,59.260,"2,224.90",0,0,5,0,0,0.000,0.00,0,6,59.260,"2,224.90",0.00,0,0.000,"1,936.78",0,0,0,0,0,0.000,0.00,0,0.000,"1,936.78",6,58.775,"1,936.78",0,0,5,0,0,0.000,0.00,0,6,58.775,"1,936.78",Total,302,"2,749.665","1,35,876.54",12,78,182,0,34,369.597,"23,751.63",33,336,"3,119.262","1,59,628.17",0.00,0,31.100,"93,354.86",0,3,0,0,0,1.800,"4,660.47",0,32.900,"1,01,538.45",197,"2,366.922","93,902.20",12,77,169,0,6,114.795,"4,782.35",10,203,"2,481.717","1,02,292.22",Grand Total,"2,178","18,552.666","9,64,282.19",130,586,"1,148",0,447,"4,043.404","2,66,086.66",367,"2,625","22,596.070","12,30,368.85",0.00,12,199.074,"6,48,845.79",0,3,10,0,5,19.515,"65,256.50",17,218.589,"7,37,513.04","1,506","15,915.478","6,55,856.67",128,572,"1,065",0,170,"1,587.756","66,136.20",103,"1,676","17,503.234","7,45,881.08","Page 1 of 1     Generated on : 14/03/2025 02:41 AM     2014 NRRDA, All rights reserved"
